doc_id,file_name,title,local_path,page_count,table_number,table_title,start_printed_page,start_page_index,end_page_index,page_span_count,page_indexes,start_pdf_page,end_pdf_page,next_table_number,next_table_start_page_index,next_later_start_page_index,topic,geography,part_or_section,subentry_count,span_flags,needs_review
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,63,"Tasmania.—Number of Children in Single Ages under 5 years last Birthday, recorded in each Municipality, at the Census of 3rd April, 1911",96,95,95,1,95,96,96,64,95,96,Ages,Tasmania,,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,64,"Tasmania.—Population of Commonwealth Electoral Divisions, as recorded at the Census of 3rd April, 1911",96,95,95,1,95,96,96,65,96,96,Ages,Tasmania,,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,65,"Tasmania.—Population of State Electoral Provinces, as recorded at the Census of 3rd April, 1911",97,96,96,1,96,97,97,66,96,97,Ages,Tasmania,,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,66,"Northern Territory.—Population in Quinquennial Age Groups, as recorded in each County, at the Census of 3rd April, 1911",97,96,96,1,96,97,97,67,97,97,Ages,Northern Territory,,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,67,"Northern Territory.—Number of Children in Single Ages under 5 years last birthday, recorded in each County, at the Census of 3rd April, 1911",98,97,97,1,97,98,98,68,97,98,Ages,Northern Territory,,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,68,"Federal Capital Territory.—Population in Quinquennial Age Groups, as recorded in each County, at the Census of 3rd April, 1911",98,97,97,1,97,98,98,69,97,98,Ages,Federal Capital Territory,,0,same_page_as_next_table_start | same_page_as_previous_table_start,True
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,69,"Federal Capital Territory.—Number of Children in Single Ages under 5 years last birthday, recorded in each County, at the Census of 3rd April, 1911",98,97,97,1,97,98,98,70,98,98,Ages,Federal Capital Territory,,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,13,"Metropolitan and Extra-Metropolitan Population of Queensland at the Census of 3rd April, 1911, Classified according to Length of Residence in Australia",420,33,33,1,33,34,34,14,33,34,Length of Residence,Queensland,Part III Length of Residence,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,14,"Metropolitan and Extra-Metropolitan Population of South Australia at the Census of 3rd April, 1911, Classified according to Length of Residence in Australia",420,33,33,1,33,34,34,15,34,34,Length of Residence,South Australia,Part III Length of Residence,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,15,"Metropolitan and Extra-Metropolitan Population of Western Australia at the Census of 3rd April, 1911, Classified according to Length of Residence in Australia",421,34,34,1,34,35,35,16,34,35,Length of Residence,Western Australia,Part III Length of Residence,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,16,"Metropolitan and Extra-Metropolitan Population of Tasmania at the Census of 3rd April, 1911, Classified according to Length of Residence in Australia",421,34,34,1,34,35,35,17,35,35,Length of Residence,Tasmania,Part III Length of Residence,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,1,"Number of Persons Recorded in each State and Territory of the Commonwealth, at the Census of 3rd April, 1911, Classified according to Education and Sex",443,2,2,1,2,3,3,2,2,3,Education and Sex,"Commonwealth, States and Territories","CENSUS OF THE COMMONWEALTH OF AUSTRALIA, 1911-EDUCATION",0,same_page_as_next_table_start,True
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,2,"Number of Persons Recorded in the Commonwealth, at the Censuses of 1891, 1901, and 1911, Classified according to Education and Sex",443,2,2,1,2,3,3,3,3,3,Education and Sex,Commonwealth,"CENSUS OF THE COMMONWEALTH OF AUSTRALIA, 1911-EDUCATION",0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,28,"Northern Territory-Number of Females Recorded in each County, at the Census of 3rd April, 1911, Classified according to Schooling and Age",742,119,119,1,119,120,120,29,119,120,Schooling and Age (Females),Northern Territory (Counties),Part V Schooling,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,29,"Northern Territory-Number of Persons Recorded in each County, at the Census of 3rd April, 1911, Classified according to Schooling and Age",742,119,119,1,119,120,120,30,120,120,Schooling and Age (Persons),Northern Territory (Counties),Part V Schooling,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,32,"Male Population of the Metropolis of each State of the Commonwealth, at the Census of 3rd April, 1911, Classified according to Religion",826,79,79,1,79,80,80,33,79,80,Religions,Metropolitan,Part VI Religions,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,33,"Female Population of the Metropolis of each State of the Commonwealth, at the Census of 3rd April, 1911, Classified according to Religion",826,79,79,1,79,80,80,34,80,80,Religions,Metropolitan,Part VI Religions,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,38,"Male Population of the Counties of Victoria, at the Census of 3rd April, 1911, Classified according to Religion",840,93,94,2,93 | 94,94,95,39,93,95,Religions,Victoria (Counties),Part VI Religions,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,39,"Female Population of the Counties of Victoria, at the Census of 3rd April, 1911, Classified according to Religion",840,93,94,2,93 | 94,94,95,40,95,95,Religions,Victoria (Counties),Part VI Religions,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,44,"Male Population of the Counties and Divisions of South Australia, at the Census of 3rd April, 1911, Classified according to Religion",850,103,104,2,103 | 104,104,105,45,103,105,Religions,South Australia (Counties and Divisions),Part VI Religions,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,45,"Female Population of the Counties and Division of South Australia, at the Census of 3rd April, 1911, Classified according to Religion",850,103,104,2,103 | 104,104,105,46,105,105,Religions,South Australia (Counties and Divisions),Part VI Religions,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,47,"Male Population of the Statistical Districts of Western Australia, at the Census of 3rd April, 1911, Classified according to Religion",854,107,108,2,107 | 108,108,109,48,107,109,Religions,Western Australia (Statistical Districts),Part VI Religions,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,48,"Female Population of the Statistical Districts of Western Australia, at the Census of 3rd April, 1911, Classified according to Religion",854,107,108,2,107 | 108,108,109,49,109,109,Religions,Western Australia (Statistical Districts),Part VI Religions,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,49,"Total Population of the Statistical Districts of Western Australia, at the Census of 3rd April, 1911, Classified according to Religion",856,109,110,2,109 | 110,110,111,50,109,111,Religions,Western Australia (Statistical Districts),Part VI Religions,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,50,"Male Population of the Municipalities of Tasmania, at the Census of 3rd April, 1911, Classified according to Religion",856,109,110,2,109 | 110,110,111,51,111,111,Religions,Tasmania (Municipalities),Part VI Religions,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,51,"Female Population of the Municipalities of Tasmania, at the Census of 3rd April, 1911, Classified according to Religion",858,111,112,2,111 | 112,112,113,52,111,113,Religions,Tasmania (Municipalities),Part VI Religions,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,52,"Total Population of the Municipalities of Tasmania, at the Census of 3rd April, 1911, Classified according to Religion",858,111,112,2,111 | 112,112,113,53,113,113,Religions,Tasmania (Municipalities),Part VI Religions,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,54,"Population of the Divisions of the Federal Capital Territory, at the Census of 3rd April, 1911, Classified according to Religion and Sex",862,115,115,1,115,116,116,55,115,116,Religions,Federal Capital Territory (Divisions),Part VI Religions,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,55,"Number of Aboriginal Males Recorded in each State and Territory of the Commonwealth, at the Census of 3rd April, 1911, Classified according to Religion",862,115,115,1,115,116,116,56,116,116,Aboriginals,States and Territories of the Commonwealth,Part VI Religions,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,1,"Persons of Non-European Race enumerated in the Commonwealth of Australia, at the Census of 3rd April 1911. Summary by States",903,6,6,1,6,7,7,2,6,7,Summary by States,Commonwealth of Australia,"CENSUS OF THE COMMONWEALTH OF AUSTRALIA, 1911.-NON-EUROPEAN RACES.",0,same_page_as_next_table_start,True
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,2,"Persons of Non-European Race enumerated in the Commonwealth of Australia, at the Census of 3rd April, 1911. Summary by Races",903,6,6,1,6,7,7,3,7,7,Summary by Races,Commonwealth of Australia,"CENSUS OF THE COMMONWEALTH OF AUSTRALIA, 1911.-NON-EUROPEAN RACES.",0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,3,"Males of each Non-European Race enumerated in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",904,7,7,1,7,8,8,4,7,8,Males of each Non-European Race,States and Territories of the Commonwealth of Australia,"CENSUS OF THE COMMONWEALTH OF AUSTRALIA, 1911.-NON-EUROPEAN RACES.",0,same_page_as_next_table_start,True
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,4,"Females of each Non-European Race enumerated in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",904,7,7,1,7,8,8,5,8,8,Females of each Non-European Race,States and Territories of the Commonwealth of Australia,"CENSUS OF THE COMMONWEALTH OF AUSTRALIA, 1911.-NON-EUROPEAN RACES.",0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,6,"Commonwealth of Australia.—Males of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age",906,9,10,2,9 | 10,10,11,7,9,11,Ages,Commonwealth of Australia,AGES.,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,7,"Commonwealth of Australia.—Females of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age",906,9,10,2,9 | 10,10,11,8,11,11,Ages,Commonwealth of Australia,AGES.,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,8,"Commonwealth of Australia.—Persons of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age",908,11,12,2,11 | 12,12,13,9,11,13,Ages,Commonwealth of Australia,AGES.,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,9,"Commonwealth of Australia.—Males of Non-European Race enumerated in the several States and Territories, at the Census of 3rd April, 1911, Classified according to Age",908,11,12,2,11 | 12,12,13,10,13,13,Ages,States and Territories of the Commonwealth of Australia,AGES.,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,10,"Commonwealth of Australia.—Females of Non-European Race enumerated in the several States and Territories, at the Census of 3rd April, 1911, Classified according to Age",910,13,14,2,13 | 14,14,15,11,13,15,Ages,States and Territories of the Commonwealth of Australia,AGES.,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,11,"Commonwealth of Australia.—Persons of Non-European Race enumerated in the several States and Territories, at the Census of 3rd April, 1911, Classified according to Age",910,13,14,2,13 | 14,14,15,12,15,15,Ages,States and Territories of the Commonwealth of Australia,AGES.,0,same_page_as_previous_table_start,True
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,12,"New South Wales.—Males of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age",912,15,16,2,15 | 16,16,17,13,15,17,Ages,New South Wales,AGES.,0,same_page_as_next_table_start,True
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,13,"New South Wales.—Females of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age",912,15,16,2,15 | 16,16,17,14,17,17,Ages,New South Wales,AGES.,0,same_page_as_previous_table_start,True
