source_pdf,source_pdf_sha256,source_page_index,source_pdf_page,source_printed_page,source_table_number_printed,source_row_y,source_image,source_row_number,source_lga_name,field,raw_value,automatic_value,corrected_value,evidence
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,183,184,2032,68,436.68,output/extract_table68/evidence/pdf_page_184.png,28,Lane Cove,females,"),667",)667,1667,"Printed 1,667; OCR ),667."
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,183,184,2032,68,596.88,output/extract_table68/evidence/pdf_page_184.png,46,Mosman,males,"6,836",6836,5836,"Printed 5,836; OCR 6,836."
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,183,184,2032,68,660.84,output/extract_table68/evidence/pdf_page_184.png,53,MurWl'llumbah,lga_name,MurWl'llumbah,MurWl'llumbah,Murwillumbah,Name transcribed from scan.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,183,184,2032,68,692.87,output/extract_table68/evidence/pdf_page_184.png,57,Narrandera,females,163,163,1163,"Printed 1,163; OCR loses first 1 and comma."
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,183,184,2032,68,700.88,output/extract_table68/evidence/pdf_page_184.png,58,Narromine,females,"1,628",1628,628,Printed 628; border stroke read as leading 1.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,183,184,2032,68,788.96,output/extract_table68/evidence/pdf_page_184.png,68,Peak H ill,lga_name,Peak H ill,Peak H ill,Peak Hill,OCR inserts an internal space in Hill.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,184,185,2033,68,407.77,output/extract_table68/evidence/pdf_page_185.png,24,Sydney,occupied_dwellings,18;463,18;463,18463,"Printed 18,463; OCR 18;463."
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,184,185,2033,68,472.06,output/extract_table68/evidence/pdf_page_185.png,31,Ulladulla.,dwellings_per_area,.ou,0.ou,0.011,Printed .011; OCR .ou.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,184,185,2033,68,600.22,output/extract_table68/evidence/pdf_page_185.png,46,Wickham,population_per_dwelling,t.79,t.79,4.79,Printed 4.79; OCR t.79.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,184,185,2033,68,761.03,output/extract_table68/evidence/pdf_page_185.png,61,Ashford,dwellings_per_area,255,255,0.255,Printed .255; OCR loses decimal point.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,185,186,2034,69,334.61,output/extract_table68/evidence/pdf_page_186.png,17,Cessnock,occupied_dwellings,4.312,4.312,4312,"Printed 4,312; OCR 4.312."
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,185,186,2034,69,374.72,output/extract_table68/evidence/pdf_page_186.png,21,Colo,persons_per_area,3:46,3:46,3.46,Printed 3.46; OCR 3:46.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,185,186,2034,69,753.16,output/extract_table68/evidence/pdf_page_186.png,64,Macleay,persons,". 6,679",0.6679,6679,"Printed 6,679; OCR adds stray leading dot."
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,186,187,2035,68,235.47,output/extract_table68/evidence/pdf_page_187.png,7,MurrmIgal,lga_name,MurrmIgal,MurrmIgal,Murrungal,Name transcribed from scan.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,186,187,2035,68,428.91,output/extract_table68/evidence/pdf_page_187.png,27,Tenterfield,females,,,2230,"Printed 2,230; OCR bounding box shifted down to Terania."
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,186,187,2035,68,436.82,output/extract_table68/evidence/pdf_page_187.png,28,Terania,females,"22,,422310",22422310,2421,"Printed 2,421; preceding row's 2,230 OCR overlaps this row."
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,186,187,2035,68,541.71,output/extract_table68/evidence/pdf_page_187.png,39,Vlaradgery,lga_name,Vlaradgery,Vlaradgery,Waradgery,Name transcribed from scan.
data/raw/abs_1911_census/1911 Census - Volume III - Part XIII Dwellings.pdf,d2a7f6b00a4c9e31c09011e69b09315e47a59f0dadbf6dd275d05fc897cb5db6,186,187,2035,68,622.1,output/extract_table68/evidence/pdf_page_187.png,47,W ollondilly,lga_name,W ollondilly,W ollondilly,Wollondilly,OCR splits initial W; old name filter omitted this entire shire.
