doc_id,model,table_key,table_numbers,table_titles,table_subjects,geographies,start_page_index,end_page_index,pdf_pages,printed_pages,page_count,page_roles,confidence_min,confidence_mean,notes,warnings
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_state_of_new_south_wales_of_which_outer_walls_were_built_and_number_of_rooms_by_,,STATE OF NEW SOUTH WALES of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals,Dwellings by number of rooms and materials of outer walls,New South Wales,24,24,25,1873,1,complete_on_page,1,1,"The table is divided into three sections: Private Dwellings, Dwellings other than private, and All Dwellings.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_14,14,"OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according to Materials","Number of dwellings containing rooms to the number of 1 to 11, classified by materials of outer walls",Commonwealth of Australia,25,25,26,26,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_state_of_victoria_of_which_outer_walls_were_built_and_number_of_rooms_by_ful,,THE STATE OF VICTORIA of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals,Dwellings by number of rooms and materials of outer walls,Victoria,26,26,27,1875,1,complete_on_page,1,1,"The table presents data for Victoria regarding dwellings by number of rooms and materials of outer walls, specifically for full-blooded Aboriginals.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_15,15,"Occupied Dwellings in at the Census of 3rd April, 1911, Classified according to Materials","Number of dwellings containing rooms to the number of 1 to 11, by material of outer walls",Commonwealth of Australia,27,27,28,28,1,complete_on_page,1,1,"The table title is split across two lines. The table includes three distinct sections: Private Dwellings, Dwellings other than Private, and All Dwellings.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_state_of_queensland_of_which_outer_walls_were_built_and_number_of_rooms_by_f,,THE STATE OF QUEENSLAND of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals,Dwellings by number of rooms and materials of outer walls,Queensland,28,28,29,1877,1,complete_on_page,1,1,"The table is presented in three sections: Private Dwellings, Dwellings other than private, and All Dwellings.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_16,16,OCCUPIED DWELLINGS IN THE COMMONWEALTH,"Number of dwellings containing rooms to the number of 1 to 11, classified by materials of outer walls",Commonwealth of Australia,29,29,30,1878,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_state_of_south_australia_of_which_outer_walls_were_built_and_number_of_rooms_by_,,STATE OF SOUTH AUSTRALIA of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals,"Number of Dwellings Containing Rooms to the Number of 12 to 20 and over, and Materials of which Outer Walls were built",South Australia,30,30,31,1879,1,complete_on_page,1,1,"The table is divided into three sections: Private Dwellings, Dwellings other than private, and All dwellings.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_17,17,OCCUPIED DWELLINGS IN THE COMMONWEALTH OF AUSTRALIA,Occupied dwellings classified according to materials and number of rooms,Commonwealth of Australia,31,31,32,1880,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_state_of_western_australia_of_which_outer_walls_were_built_and_number_of_rooms_b,,STATE OF WESTERN AUSTRALIA of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals.,"Number of Dwellings containing rooms to the number of, by materials of outer walls",Western Australia,32,32,33,1881,1,complete_on_page,1,1,"The table presents data for Western Australia regarding dwellings by number of rooms and material of outer walls, categorized into Private Dwellings, Dwellings other than private, and All Dwellings.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_18,18,"Occupied Dwellings in at the Census of 3rd April, 1911, Classified according to Materials",Number of dwellings containing rooms to the number of 1 to 11,Commonwealth of Australia,33,33,34,1882,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_19,19,"Occupied Dwellings in at the Census of 3rd April, 1911, Classified according to Materials | OCCUPIED DWELLINGS IN",Number of dwellings containing rooms to the number of 1 to 11 | Dwellings classified by materials of outer walls and number of rooms,Commonwealth of Australia | Australia,33,35,34 | 36,1882 | 1884,2,starts | complete_on_page,0.95,0.975,Table 19 is cut off at the bottom of the page.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_state_of_tasmania_of_which_outer_walls_were_built_and_number_of_rooms_by_ful,,THE STATE OF TASMANIA of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals,Dwellings by number of rooms and materials of outer walls,Tasmania,34,34,35,1883,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_northern_territory_of_which_outer_walls_were_built_and_number_of_rooms_by_fu,,THE NORTHERN TERRITORY of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals,Dwellings by number of rooms and materials of outer walls,Northern Territory,34,34,35,1883,1,starts,1,1,Table continues on the next page.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_20,20,"OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according to Materials (Exclusive of Dwellings occupied solely | Number of Dwellings Containing Rooms to the Number of",Private dwellings and dwellings other than private classified by materials of outer walls and number of rooms | Dwellings by number of rooms and materials of outer walls,Australia | Northern Territory,35,36,36 | 37,1884 | 1885,2,complete_on_page | continues,0.95,0.95,Table title is truncated in the source document. | Continuation of Northern Territory data from previous page.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_private_dwellings__private_houses_and_tenements_therein,,Private Dwellings (Private Houses and Tenements therein),Dwellings by number of rooms and materials of outer walls,Federal Territory,36,36,37,1885,1,complete_on_page,0.95,0.95,Includes data for Federal Territory.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_21,21,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, Classified according to Materials",Number of occupied dwellings containing inmates to the number of 1 to 11,Commonwealth of Australia,37,37,38,38,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_commonwealth_of_australia__number_of_occupied_dwellings_containing_inmates_to_th,,Commonwealth of Australia: Number of Occupied Dwellings Containing Inmates to the Number of - Materials of which Outer Walls were Built,Dwellings by number of inmates and material of outer walls,Commonwealth of Australia,38,38,39,1887,1,complete_on_page,1,1,The table includes a final row for 'Other Camps without Dwellings' under the 'ALL DWELLINGS' section.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_22,22,"OCCUPIED DWELLINGS IN THE COMMONWEALTH AT THE CENSUS OF 3RD APRIL, 1911, CLASSIFIED ACCORDING TO MATERIALS",Occupied dwellings by material of outer walls and number of inmates,Australia,39,39,40,40,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_state_of_new_south_wales_of_which_outer_walls_were_built_and_number_of_inmates_b,,STATE OF NEW SOUTH WALES of which Outer Walls were built and Number of Inmates by Full-blooded Aboriginals,Occupied dwellings containing inmates by number of inmates and materials of outer walls,New South Wales,40,40,41,1889,1,complete_on_page,1,1,The table is divided into three sections based on dwelling type.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_23,23,"OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according to Materials (Exclusive of Dwellings occupied solely)",Occupied dwellings classified by materials of outer walls and number of inmates,Australia,41,41,42,42,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_state_of_victoria_of_which_outer_walls_were_built_and_number_of_inmates_by_f,,THE STATE OF VICTORIA of which Outer Walls were built and Number of Inmates by Full-blooded Aboriginals,Occupied dwellings by number of inmates and material of outer walls,Victoria,42,42,43,1891,1,complete_on_page,1,1,"The table presents data for Victoria regarding dwellings containing inmates, categorized by the number of inmates and the material of the outer walls.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_24,24,"OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according to Materials",Occupied dwellings by material of outer walls and number of inmates,Australia,43,43,44,44,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_state_of_queensland_of_which_outer_walls_were_built_and_number_of_inmates_by,,THE STATE OF QUEENSLAND of which Outer Walls were built and Number of Inmates by Full-blooded Aboriginals,Occupied dwellings by number of inmates and material of outer walls,Queensland,44,44,45,1893,1,complete_on_page,1,1,The table presents data for Queensland regarding the number of inmates in occupied dwellings categorized by the material of the outer walls.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_25,25,OCCUPIED DWELLINGS IN THE COMMONWEALTH,Occupied dwellings classified according to materials and number of inmates,Commonwealth of Australia,45,45,46,46,1,complete_on_page,1,1,"The table title is split across two lines: '25.—OCCUPIED DWELLINGS IN THE' and 'At the Census of 3rd April, 1911, Classified according to Materials'. The table includes a row for 'Other Camps without Dwellings' at the bottom.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_state_of_south_australia_of_which_outer_walls_were_built_and_number_of_inmates_s,,STATE OF SOUTH AUSTRALIA of which Outer Walls were built and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings by number of inmates and materials of outer walls,South Australia,46,46,47,47,1,complete_on_page,1,1,"The table presents data for South Australia regarding dwellings containing inmates, categorized by the number of inmates (12 to 20+) and the material of the outer walls.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_26,26,"Occupied Dwellings in the Commonwealth of Australia, 1911, Classified according to Materials",Occupied dwellings classified by material of outer walls and number of inmates,Commonwealth of Australia,47,47,48,48,1,complete_on_page,1,1,"The table title is truncated in the source text as 'OCCUPIED DWELLINGS IN THE' followed by 'At the Census of 3rd April, 1911, Classified according to Materials'. The full table number 26 is explicitly stated.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_state_of_western_australia_of_which_outer_walls_were_built_and_number_of_inmates,,STATE OF WESTERN AUSTRALIA of which Outer Walls were built and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings containing inmates by number of inmates and materials of outer walls,Western Australia,48,48,49,1897,1,complete_on_page,1,1,The table is presented in three sections based on dwelling type.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_27,27,"Occupied Dwellings in at the Census of 3rd April, 1911, Classified according to Materials",Occupied dwellings by material of outer walls and number of inmates,Australia,49,49,50,1898,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_28,28,"Occupied Dwellings in at the Census of 3rd April, 1911, Classified according to Materials | Occupied Dwellings in the Commonwealth of Australia, 1911","Occupied dwellings by material of outer walls and number of inmates | Occupied dwellings containing inmates to the number of 1 to 11, classified by materials of outer walls",Australia | Commonwealth of Australia,49,51,50 | 52,1898 | 52,2,starts | complete_on_page,1,1,Table 28 continues on the following page.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_state_of_tasmania_of_which_outer_walls_were_built_and_number_of_inmates_sole,,THE STATE OF TASMANIA of which Outer Walls were built and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings containing inmates by number of inmates and material of outer walls,Tasmania,50,50,51,1899,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_northern_territory_of_which_outer_walls_were_built_and_number_of_inmates_sol,,THE NORTHERN TERRITORY of which Outer Walls were built and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings containing inmates by number of inmates and material of outer walls,Northern Territory,50,50,51,1899,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_29,29,"Occupied Dwellings in the Commonwealth of Australia, 1911, Classified according to Materials | No. of Occupied Dwellings Containing Inmates to the Number of","Occupied dwellings containing inmates to the number of 1 to 11, classified by materials of outer walls | Dwellings by number of inmates and materials of outer walls",Commonwealth of Australia | Northern Territory,51,52,52 | 53,52 | 1901,2,complete_on_page | continues,0.95,0.975,Page continues Northern Territory data from previous page. Contains two sections: Dwellings other than private and All dwellings.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_federal_territory_of_which_outer_walls_were_built_and_number_of_inmates_sole,,The Federal Territory of which Outer Walls were built and Number of Inmates solely by Full-blooded Aboriginals,Private dwellings by materials of outer walls,Federal Territory,52,52,53,1901,1,complete_on_page,0.95,0.95,Contains three sections for the Federal Territory.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_30,30,"Occupied Dwellings in the Commonwealth of Australia, 1911, classified according to the number of rooms and number of inmates",Dwellings by number of rooms and number of inmates,Commonwealth of Australia,53,53,54,54,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_commonwealth_of_australia_to_number_of_rooms_and_number_of_inmates_solely_by_ful,,Commonwealth of Australia to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,Number of Occupied Dwellings containing Inmates to the Number of Rooms,Commonwealth of Australia,54,54,55,1903,1,complete_on_page,1,1,"The table is divided into three sections: Private Dwellings, Dwellings other than private, and All dwellings.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_31,31,OCCUPIED DWELLINGS IN THE COMMONWEALTH,Occupied dwellings classified by number of rooms and type of dwelling,Commonwealth of Australia,55,55,56,56,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_state_of_new_south_wales_to_number_of_rooms_and_number_of_inmates_solely_by_full,,STATE OF NEW SOUTH WALES to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings containing inmates by number of rooms,New South Wales,56,56,57,1905,1,complete_on_page,1,1,The table is divided into three sections based on dwelling type.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_32,32,"OCCUPIED DWELLINGS IN THE COMMONWEALTH OF AUSTRALIA, 1911, CLASSIFIED ACCORDING TO NUMBER OF ROOMS","Occupied dwellings classified by number of rooms and type of dwelling (Private, Other than Private, All Dwellings)",Australia,57,57,58,58,1,complete_on_page,1,1,"The table includes data for 'Wagons, Trains, etc.' and 'Aboriginal Camps in which Whites or Half-castes were Living' as rows within the dwelling categories.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_state_of_victoria_to_number_of_rooms_and_number_of_inmates_solely_by_full_bl,,THE STATE OF VICTORIA to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings containing inmates by number of rooms,Victoria,58,58,59,59,1,complete_on_page,1,1,"The table is divided into three sections: Private Dwellings, Dwellings other than Private, and All Dwellings.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_33,33,"OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according (Exclusive of Dwellings occupied",Occupied dwellings classified by number of rooms and number of inmates,Commonwealth of Australia,59,59,60,60,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_state_of_queensland_to_number_of_rooms_and_number_of_inmates_solely_by_full_,,THE STATE OF QUEENSLAND to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,No. of Occupied Dwellings Containing Inmates to the No. of Rooms,Queensland,60,60,61,61,1,complete_on_page,1,1,"The table is divided into three sections: Private Dwellings, Dwellings other than Private, and All Dwellings.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_34,34,"OCCUPIED DWELLINGS IN THE At the Census of 3rd April, 1911, Classified according (Exclusive of Dwellings occupied",Occupied dwellings classified by number of rooms and type of dwelling,Commonwealth of Australia,61,61,62,62,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_state_of_south_australia_to_number_of_rooms_and_number_of_inmates_solely_by_full,,STATE OF SOUTH AUSTRALIA to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings containing inmates to the number of rooms,South Australia,62,62,63,63,1,complete_on_page,1,1,The table presents data for South Australia regarding the number of rooms and number of inmates solely by full-blooded aboriginals.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_35,35,"OCCUPIED DWELLINGS IN THE At the Census of 3rd April, 1911, Classified according (Exclusive of Dwellings occupied",Number of occupied dwellings containing inmates to the number of rooms,Australia,63,63,64,64,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_state_of_western_australia_to_number_of_rooms_and_number_of_inmates_solely_by_fu,,STATE OF WESTERN AUSTRALIA to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings by number of rooms and number of inmates,Western Australia,64,64,65,65,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_36,36,"Occupied Dwellings in the Census of 3rd April, 1911, Classified according to the Number of Rooms",Occupied dwellings by number of rooms and number of inmates,Commonwealth of Australia,65,65,66,66,1,complete_on_page,1,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_state_of_tasmania_to_number_of_rooms_and_number_of_inmates_solely_by_full_bl,,THE STATE OF TASMANIA to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,Number of Occupied Dwellings Containing Inmates to the No. of Rooms,Tasmania,66,66,67,1915,1,complete_on_page,1,1,"The table presents data for Tasmania regarding the number of rooms in dwellings and the number of inmates, specifically for full-blooded Aboriginals.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_37,37,OCCUPIED DWELLINGS IN,Occupied dwellings classified by number of rooms and number of inmates,Commonwealth of Australia,67,67,68,68,1,complete_on_page,1,1,"The table title is truncated in the source document as 'OCCUPIED DWELLINGS IN'. The table provides data for private dwellings, dwellings other than private, and all dwellings.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_northern_territory_to_number_of_rooms_and_number_of_inmates_solely_by_full_b,,THE NORTHERN TERRITORY to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals.,Occupied dwellings containing inmates by number of rooms,Northern Territory,68,68,69,1917,1,complete_on_page,1,1,The table title is split across lines. The table is divided into three sections based on dwelling type.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_38,38,OCCUPIED DWELLINGS IN,Occupied dwellings classified by number of rooms and number of inmates,Australia,69,69,70,70,1,complete_on_page,1,1,"The table title is incomplete on the page, appearing as 'OCCUPIED DWELLINGS IN'. The table provides data for private dwellings, dwellings other than private, and all dwellings.",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,title_the_federal_territory_to_number_of_rooms_and_number_of_inmates_solely_by_full_bl,,THE FEDERAL TERRITORY to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals.,Number of rooms and number of inmates in dwellings,Federal Territory,70,70,71,71,1,complete_on_page,1,1,The table is divided into three sections based on dwelling type.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,table_39,39,OCCUPIED DWELLINGS IN THE COMMONWEALTH | Occupied Dwellings in the Commonwealth | Number of Dwellings containing rooms to the number of... Dwellings other than private,"Private dwellings classified by weekly rental value and number of rooms | Dwellings other than private, classified by weekly rental value and number of rooms | Dwellings other than private by number of rooms and weekly rental value",Commonwealth of Australia,71,74,72 | 74 | 75,72 | 74 | 75,3,complete_on_page | continues,0.95,0.9666666666666667,The table title is truncated in the document header; full title inferred from context of census tables. | The table title is inferred from the header text '39.—OCCUPIED DWELLINGS IN THE' and the context of the document. The table continues from the previous page. | The table is a continuation of a previous table showing dwellings by number of rooms and rental value. The page header indicates 'Commonwealth of Australia - continued'.,
