doc_id,model,table_number,index_title,index_start_printed_page,index_subentries,warnings
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,11,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling and Number of Rooms--",1864,"[{""label"": ""I.--New South Wales"", ""printed_page"": 1864}, {""label"": ""II.--Victoria"", ""printed_page"": 1866}, {""label"": ""III.--Queensland"", ""printed_page"": 1866}, {""label"": ""IV.--South Australia"", ""printed_page"": 1866}, {""label"": ""V.--Western Australia"", ""printed_page"": 1868}, {""label"": ""VI.--Tasmania"", ""printed_page"": 1868}, {""label"": ""VII.--Northern Territory"", ""printed_page"": 1868}, {""label"": ""VIII.--Federal Territory"", ""printed_page"": 1868}]",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,12,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms",1870,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,13,"Occupied Dwellings in the State of New South Wales, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms",1872,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,14,"Occupied Dwellings in the State of Victoria, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms",1874,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,15,"Occupied Dwellings in the State of Queensland, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms",1876,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,16,"Occupied Dwellings in the State of South Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built, and Number of Rooms",1878,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,17,"Occupied Dwellings in the State of Western Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms",1880,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,18,"Occupied Dwellings in the State of Tasmania, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms",1882,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,19,"Occupied Dwellings in the Northern Territory, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms",1882,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,20,"Occupied Dwellings in the Federal Territory, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms",1884,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,21,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates",1886,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,22,"Occupied Dwellings in the State of New South Wales, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates",1888,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,23,"Occupied Dwellings in the State of Victoria, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates",1890,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,24,"Occupied Dwellings in the State of Queensland, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates",1892,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,25,"Occupied Dwellings in the State of South Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates",1894,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,26,"Occupied Dwellings in the State of Western Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates",1896,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,27,"Occupied Dwellings in the State of Tasmania, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates",1898,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,28,"Occupied Dwellings in the Northern Territory, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates",1898,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,29,"Occupied Dwellings in the Federal Territory, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates",1900,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,30,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates",1902,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,31,"Occupied Dwellings in the State of New South Wales, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates",1904,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,32,"Occupied Dwellings in the State of Victoria, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates",1906,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,33,"Occupied Dwellings in the State of Queensland, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates",1908,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,34,"Occupied Dwellings in the State of South Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates",1910,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,35,"Occupied Dwellings in the State of Western Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates",1912,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,36,"Occupied Dwellings in the State of Tasmania, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates",1914,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,37,"Occupied Dwellings in the Northern Territory, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates",1916,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,38,"Occupied Dwellings in the Federal Territory, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates",1918,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,39,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms",1920,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,40,"Occupied Dwellings in the State of New South Wales, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms",1924,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,41,"Occupied Dwellings in the State of Victoria, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms",1928,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,42,"Occupied Dwellings in the State of Queensland, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms",1932,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,43,"Occupied Dwellings in the State of South Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms",1936,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,44,"Occupied Dwellings in the State of Western Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms",1940,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,45,"Occupied Dwellings in the State of Tasmania, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms",1944,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,46,"Occupied Dwellings in the Northern Territory, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms",1948,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,47,"Occupied Dwellings in the Federal Territory, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms",1948,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,48,"Occupied Private Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value, Number of Rooms and Method of Occupancy",1950,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,49,"Occupied Private Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Method of Occupancy",1958,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,50,"Dwellings, Occupied, Unoccupied and Being Built in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911",1962,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,51,"Occupied Dwellings in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling",1962,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,52,"Occupied Dwellings in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms",1963,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,53,"Occupied Dwellings of 20 rooms and upwards, in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911",1964,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,54,"Occupied Dwellings in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built",1965,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,55,"Occupied Dwellings in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value",1966,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,56,"Occupied Private Dwellings in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Method of Occupancy",1969,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,57,"Inmates of Dwellings (classified according to Number of Rooms) in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911",1972,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,58,"Inmates of Dwellings (classified according to Materials of which outer walls were built) in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911",1973,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,59,"Average Number of Inmates per Occupied Private Dwelling (classified according to Number of Rooms) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",1974,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,60,"Average Number of Inmates per Room in Occupied Private Dwellings (classified according to Number of Rooms) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",1974,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,61,"Average Weekly Rental Value of Occupied Private Dwellings (classified according to Number of Rooms) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",1974,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,62,"Average Weekly Rental Value per Room in Occupied Private Dwellings (classified according to Number of Rooms) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",1976,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,63,"Average Weekly Rental Value per Inmate in Occupied Private Dwellings (classified according to Number of Rooms) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",1976,[],
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,64,"Occupied Dwellings in each County, etc., of the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms--",1978,"[{""label"": ""I.--New South Wales"", ""printed_page"": 1978}, {""label"": ""II.--Victoria"", ""printed_page"": 1984}, {""label"": ""III.--Queensland"", ""printed_page"": 1986}, {""label"": ""IV.--South Australia"", ""printed_page"": 1989}, {""label"": ""V.--Western Australia"", ""printed_page"": 1992}, {""label"": ""VI.--Tasmania"", ""printed_page"": 1994}, {""label"": ""VII.--Northern Territory"", ""printed_page"": 1994}, {""label"": ""VIII.--Federal Territory"", ""printed_page"": 1994}]",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,65,"Occupied Dwellings in each County, etc., of the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built--",1997,"[{""label"": ""I.--New South Wales"", ""printed_page"": 1997}, {""label"": ""II.--Victoria"", ""printed_page"": 2003}, {""label"": ""III.--Queensland"", ""printed_page"": 2005}, {""label"": ""IV.--South Australia"", ""printed_page"": 2008}, {""label"": ""V.--Western Australia"", ""printed_page"": 2011}, {""label"": ""VI.--Tasmania"", ""printed_page"": 2013}, {""label"": ""VII.--Northern Territory"", ""printed_page"": 2013}, {""label"": ""VIII.--Federal Territory"", ""printed_page"": 2013}]",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,66,"Average Weekly Rental Value of Private Dwellings in each County, etc., of the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms--",2016,"[{""label"": ""I.--New South Wales"", ""printed_page"": 2016}, {""label"": ""II.--Victoria"", ""printed_page"": 2020}, {""label"": ""III.--Queensland"", ""printed_page"": 2020}, {""label"": ""IV.--South Australia"", ""printed_page"": 2022}, {""label"": ""V.--Western Australia"", ""printed_page"": 2024}, {""label"": ""VI.--Tasmania"", ""printed_page"": 2024}, {""label"": ""VII.--Northern Territory"", ""printed_page"": 2026}, {""label"": ""VIII.--Federal Territory"", ""printed_page"": 2026}]",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,67,"Area, Population, Density, Occupied Dwellings and Rental Values in each County, etc., of the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911--",2026,"[{""label"": ""I.--New South Wales"", ""printed_page"": 2026}, {""label"": ""II.--Victoria"", ""printed_page"": 2028}, {""label"": ""III.--Queensland"", ""printed_page"": 2028}, {""label"": ""IV.--South Australia"", ""printed_page"": 2029}, {""label"": ""V.--Western Australia"", ""printed_page"": 2029}, {""label"": ""VI.--Tasmania"", ""printed_page"": 2030}, {""label"": ""VII.--Northern Territory"", ""printed_page"": 2030}, {""label"": ""VIII.--Federal Territory"", ""printed_page"": 2030}]",
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.5-flash,68,"Area, Population, Density, Occupied Dwellings, etc., in each Local Government Area of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911--",2031,"[{""label"": ""I.--New South Wales"", ""printed_page"": 2031}, {""label"": ""II.--Victoria"", ""printed_page"": 2036}, {""label"": ""III.--Queensland"", ""printed_page"": 2039}, {""label"": ""IV.--South Australia"", ""printed_page"": 2042}, {""label"": ""V.--Western Australia"", ""printed_page"": 2045}]",
