table_number,index_start_printed_page,index_expected_page_index,gemini31_start_page_index,gemini31_end_page_index,page_index_delta,status,index_title,gemini31_titles,gemini31_subjects
11,1864,15,15,20,0,start_matches_index,"Occupied Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling and Number of Rooms--",OCCUPIED DWELLINGS IN THE SEVERAL STATES AND | Occupied dwellings in the several states | Number of Dwellings containing rooms to the number of | OCCUPIED DWELLINGS IN THE SEVERAL STATES | NUMBER OF DWELLINGS CONTAINING ROOMS TO THE NUMBER OF,Number of dwellings containing rooms to the number of 1 to 11 | Dwellings by number of rooms and nature of dwelling
12,1870,21,21,21,0,start_matches_index,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms","Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, Classified according to Materials",Occupied dwellings by materials of outer walls and number of rooms
13,1872,23,23,23,0,start_matches_index,"Occupied Dwellings in the State of New South Wales, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms","Occupied Dwellings in the Commonwealth of Australia, 1911, Classified according to Materials","Number of dwellings containing rooms to the number of 1 to 11, by material of outer walls"
14,1874,25,25,25,0,start_matches_index,"Occupied Dwellings in the State of Victoria, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms","OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according to Materials","Number of dwellings containing rooms to the number of 1 to 11, classified by materials of outer walls"
15,1876,27,27,27,0,start_matches_index,"Occupied Dwellings in the State of Queensland, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms","Occupied Dwellings in at the Census of 3rd April, 1911, Classified according to Materials","Number of dwellings containing rooms to the number of 1 to 11, by material of outer walls"
16,1878,29,29,29,0,start_matches_index,"Occupied Dwellings in the State of South Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built, and Number of Rooms",OCCUPIED DWELLINGS IN THE COMMONWEALTH,"Number of dwellings containing rooms to the number of 1 to 11, classified by materials of outer walls"
17,1880,31,31,31,0,start_matches_index,"Occupied Dwellings in the State of Western Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms",OCCUPIED DWELLINGS IN THE COMMONWEALTH OF AUSTRALIA,Occupied dwellings classified according to materials and number of rooms
18,1882,33,33,33,0,start_matches_index,"Occupied Dwellings in the State of Tasmania, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms","Occupied Dwellings in at the Census of 3rd April, 1911, Classified according to Materials",Number of dwellings containing rooms to the number of 1 to 11
19,1882,33,33,35,0,start_matches_index,"Occupied Dwellings in the Northern Territory, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms","Occupied Dwellings in at the Census of 3rd April, 1911, Classified according to Materials | OCCUPIED DWELLINGS IN",Number of dwellings containing rooms to the number of 1 to 11 | Dwellings classified by materials of outer walls and number of rooms
20,1884,35,35,36,0,start_matches_index,"Occupied Dwellings in the Federal Territory, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Rooms","OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according to Materials (Exclusive of Dwellings occupied solely | Number of Dwellings Containing Rooms to the Number of",Private dwellings and dwellings other than private classified by materials of outer walls and number of rooms | Dwellings by number of rooms and materials of outer walls
21,1886,37,37,37,0,start_matches_index,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates","Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, Classified according to Materials",Number of occupied dwellings containing inmates to the number of 1 to 11
22,1888,39,39,39,0,start_matches_index,"Occupied Dwellings in the State of New South Wales, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates","OCCUPIED DWELLINGS IN THE COMMONWEALTH AT THE CENSUS OF 3RD APRIL, 1911, CLASSIFIED ACCORDING TO MATERIALS",Occupied dwellings by material of outer walls and number of inmates
23,1890,41,41,41,0,start_matches_index,"Occupied Dwellings in the State of Victoria, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates","OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according to Materials (Exclusive of Dwellings occupied solely)",Occupied dwellings classified by materials of outer walls and number of inmates
24,1892,43,43,43,0,start_matches_index,"Occupied Dwellings in the State of Queensland, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates","OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according to Materials",Occupied dwellings by material of outer walls and number of inmates
25,1894,45,45,45,0,start_matches_index,"Occupied Dwellings in the State of South Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates",OCCUPIED DWELLINGS IN THE COMMONWEALTH,Occupied dwellings classified according to materials and number of inmates
26,1896,47,47,47,0,start_matches_index,"Occupied Dwellings in the State of Western Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates","Occupied Dwellings in the Commonwealth of Australia, 1911, Classified according to Materials",Occupied dwellings classified by material of outer walls and number of inmates
27,1898,49,49,49,0,start_matches_index,"Occupied Dwellings in the State of Tasmania, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates","Occupied Dwellings in at the Census of 3rd April, 1911, Classified according to Materials",Occupied dwellings by material of outer walls and number of inmates
28,1898,49,49,51,0,start_matches_index,"Occupied Dwellings in the Northern Territory, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates","Occupied Dwellings in at the Census of 3rd April, 1911, Classified according to Materials | Occupied Dwellings in the Commonwealth of Australia, 1911","Occupied dwellings by material of outer walls and number of inmates | Occupied dwellings containing inmates to the number of 1 to 11, classified by materials of outer walls"
29,1900,51,51,52,0,start_matches_index,"Occupied Dwellings in the Federal Territory, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built and Number of Inmates","Occupied Dwellings in the Commonwealth of Australia, 1911, Classified according to Materials | No. of Occupied Dwellings Containing Inmates to the Number of","Occupied dwellings containing inmates to the number of 1 to 11, classified by materials of outer walls | Dwellings by number of inmates and materials of outer walls"
30,1902,53,53,53,0,start_matches_index,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates","Occupied Dwellings in the Commonwealth of Australia, 1911, classified according to the number of rooms and number of inmates",Dwellings by number of rooms and number of inmates
31,1904,55,55,55,0,start_matches_index,"Occupied Dwellings in the State of New South Wales, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates",OCCUPIED DWELLINGS IN THE COMMONWEALTH,Occupied dwellings classified by number of rooms and type of dwelling
32,1906,57,57,57,0,start_matches_index,"Occupied Dwellings in the State of Victoria, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates","OCCUPIED DWELLINGS IN THE COMMONWEALTH OF AUSTRALIA, 1911, CLASSIFIED ACCORDING TO NUMBER OF ROOMS","Occupied dwellings classified by number of rooms and type of dwelling (Private, Other than Private, All Dwellings)"
33,1908,59,59,59,0,start_matches_index,"Occupied Dwellings in the State of Queensland, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates","OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according (Exclusive of Dwellings occupied",Occupied dwellings classified by number of rooms and number of inmates
34,1910,61,61,61,0,start_matches_index,"Occupied Dwellings in the State of South Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates","OCCUPIED DWELLINGS IN THE At the Census of 3rd April, 1911, Classified according (Exclusive of Dwellings occupied",Occupied dwellings classified by number of rooms and type of dwelling
35,1912,63,63,63,0,start_matches_index,"Occupied Dwellings in the State of Western Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates","OCCUPIED DWELLINGS IN THE At the Census of 3rd April, 1911, Classified according (Exclusive of Dwellings occupied",Number of occupied dwellings containing inmates to the number of rooms
36,1914,65,65,65,0,start_matches_index,"Occupied Dwellings in the State of Tasmania, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates","Occupied Dwellings in the Census of 3rd April, 1911, Classified according to the Number of Rooms",Occupied dwellings by number of rooms and number of inmates
37,1916,67,67,67,0,start_matches_index,"Occupied Dwellings in the Northern Territory, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates",OCCUPIED DWELLINGS IN,Occupied dwellings classified by number of rooms and number of inmates
38,1918,69,69,69,0,start_matches_index,"Occupied Dwellings in the Federal Territory, at the Census of 3rd April, 1911, classified according to Number of Rooms and Number of Inmates",OCCUPIED DWELLINGS IN,Occupied dwellings classified by number of rooms and number of inmates
39,1920,71,71,74,0,start_matches_index,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms",OCCUPIED DWELLINGS IN THE COMMONWEALTH | Occupied Dwellings in the Commonwealth | Number of Dwellings containing rooms to the number of... Dwellings other than private,"Private dwellings classified by weekly rental value and number of rooms | Dwellings other than private, classified by weekly rental value and number of rooms | Dwellings other than private by number of rooms and weekly rental value"
40,1924,75,75,78,0,start_matches_index,"Occupied Dwellings in the State of New South Wales, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms","OCCUPIED DWELLINGS IN THE COMMONWEALTH | Occupied Dwellings in the Commonwealth of Australia, 1911 | Dwellings other than private","Private dwellings classified by weekly rental value and number of rooms | Dwellings other than private, classified by weekly rental value and number of rooms | Number of dwellings containing rooms to the number of, by weekly rental value"
41,1928,79,79,82,0,start_matches_index,"Occupied Dwellings in the State of Victoria, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms","Occupied Dwellings in at the Census of 3rd April, 1911, Classified according (Exclusive of Dwellings occupied) | Occupied dwellings in the Commonwealth of Australia | Number of Dwellings containing rooms to the number of - Dwellings other than private","Number of dwellings containing rooms to the number of weekly rental value | Dwellings other than private, classified by weekly rental value and number of rooms | Dwellings other than private by number of rooms and weekly rental value"
42,1932,83,83,86,0,start_matches_index,"Occupied Dwellings in the State of Queensland, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms","Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms | OCCUPIED DWELLINGS IN THE DWELLINGS OTHER THAN PRIVATE | Number of Dwellings containing rooms to the number of - Dwellings other than private","Private dwellings (private houses and tenements therein) classified by weekly rental value and number of rooms | Number of dwellings containing rooms to the number of 1 to 11, by weekly rental value | Dwellings other than private by number of rooms and weekly rental value"
43,1936,87,87,90,0,start_matches_index,"Occupied Dwellings in the State of South Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms","OCCUPIED DWELLINGS IN THE [States/Territories missing from header] | Occupied Dwellings in the Commonwealth: Dwellings other than Private, classified according to Weekly Rental Value and Number of Rooms | Dwellings other than private","Private dwellings classified by weekly rental value and number of rooms | Dwellings other than private, classified by weekly rental value and number of rooms | Number of dwellings containing rooms to the number of 12 to 20 and over, unspecified, and total weekly rental value"
44,1940,91,91,94,0,start_matches_index,"Occupied Dwellings in the State of Western Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms",OCCUPIED DWELLINGS IN THE | OCCUPIED DWELLINGS IN THE DWELLINGS OTHER THAN PRIVATE | Dwellings other than private,"Number of dwellings containing rooms to the number of weekly rental value | Number of dwellings containing rooms to the number of 1-11 by weekly rental value | Number of dwellings containing rooms to the number of 12 to 20 and over, and weekly rental value"
45,1944,95,95,98,0,start_matches_index,"Occupied Dwellings in the State of Tasmania, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms","Occupied Dwellings in [States/Territories] at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms | OCCUPIED DWELLINGS IN THE DWELLINGS OTHER THAN PRIVATE | Number of Dwellings Containing Rooms to the Number of - Dwellings other than private",Private dwellings (private houses and tenements therein) classified by weekly rental value and number of rooms | Number of dwellings containing rooms to the number of 1-11 by weekly rental value | Dwellings other than private by number of rooms and weekly rental value
46,1948,99,99,99,0,start_matches_index,"Occupied Dwellings in the Northern Territory, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms","OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according (Exclusive of Dwellings occupied",Occupied dwellings by weekly rental value and number of rooms
47,1948,99,99,99,0,start_matches_index,"Occupied Dwellings in the Federal Territory, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms","OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according (Exclusive of Dwellings occupied",Occupied dwellings by weekly rental value and number of rooms
48,1950,101,101,108,0,start_matches_index,"Occupied Private Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value, Number of Rooms and Method of Occupancy","OCCUPIED PRIVATE DWELLINGS IN At the Census of 3rd April, 1911, Classified according to Weekly (Exclusive of Dwellings occupied | OCCUPIED PRIVATE DWELLINGS IN THE | Number of Dwellings Containing Rooms to the Number of... Occupied by Rent Purchasers | Occupied private dwellings in the | Number of Dwellings Containing Rooms to the Number of... Occupied by Tenants | Occupied private dwellings in the Commonwealth: Weekly rental value of dwellings containing 1 to 11 rooms, other and unspecified methods of occupancy | Number of Dwellings Containing Rooms to the Number of—Other and Unspecified Methods of Occupancy","Occupied private dwellings classified by weekly rental value and number of rooms | Number of dwellings containing rooms to the number of 1-11, by weekly rental value, occupied by rent purchasers | Dwellings occupied by rent purchasers by number of rooms and weekly rental value | Number of dwellings containing rooms to the number of, by weekly rental value, occupied by tenants | Dwellings by number of rooms and weekly rental value | Weekly rental value of occupied private dwellings by number of rooms"
49,1958,109,109,112,0,start_matches_index,"Occupied Private Dwellings in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Method of Occupancy",OCCUPIED PRIVATE DWELLINGS IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA | OCCUPIED PRIVATE DWELLINGS IN THE SEVERAL STATES AND TERRITORIES | Occupied private dwellings in the several States and Territories,Occupied private dwellings classified by weekly rental value and method of occupancy (Occupied by Owners) | Occupied private dwellings by weekly rental value and rent purchasers | Weekly rental value of occupied private dwellings by tenants | Weekly rental value of occupied private dwellings by other and unspecified methods of occupancy
50,1962,113,113,113,0,start_matches_index,"Dwellings, Occupied, Unoccupied and Being Built in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911","DWELLINGS OCCUPIED, UNOCCUPIED AND BEING BUILT IN THE METROPOLITAN AREAS OF THE SEVERAL STATES OF THE COMMONWEALTH OF AUSTRALIA",Dwellings by occupancy status in metropolitan areas
51,1962,113,113,113,0,start_matches_index,"Occupied Dwellings in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Nature of Dwelling",OCCUPIED DWELLINGS IN THE METROPOLITAN AREAS OF THE SEVERAL STATES OF THE COMMONWEALTH OF AUSTRALIA,Occupied dwellings by nature of dwelling in metropolitan areas
52,1963,114,114,114,0,start_matches_index,"Occupied Dwellings in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms",OCCUPIED DWELLINGS IN THE METROPOLITAN AREAS OF THE SEVERAL STATES OF THE COMMONWEALTH OF AUSTRALIA,Occupied dwellings classified according to number of rooms
53,1964,115,115,115,0,start_matches_index,"Occupied Dwellings of 20 rooms and upwards, in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911",OCCUPIED DWELLINGS OF 20 ROOMS AND UPWARDS IN THE METROPOLITAN AREAS OF THE SEVERAL STATES OF THE COMMONWEALTH OF AUSTRALIA,Occupied dwellings of 20 rooms and upwards by number of rooms and metropolitan area
54,1965,116,116,116,0,start_matches_index,"Occupied Dwellings in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built",OCCUPIED DWELLINGS IN THE METROPOLITAN AREAS OF THE SEVERAL STATES OF THE COMMONWEALTH OF AUSTRALIA,Occupied dwellings classified by materials of outer walls
55,1966,117,117,119,0,start_matches_index,"Occupied Dwellings in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value",OCCUPIED DWELLINGS IN THE METROPOLITAN AREAS OF THE SEVERAL STATES OF THE COMMONWEALTH OF AUSTRALIA | OCCUPIED DWELLINGS IN THE METROPOLITAN AREAS,"Weekly Rental Value of Private Dwellings | Dwellings other than private, classified by weekly rental value | All dwellings by weekly rental value"
56,1969,120,120,123,0,start_matches_index,"Occupied Private Dwellings in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Method of Occupancy",OCCUPIED PRIVATE DWELLINGS IN THE METROPOLITAN AREAS OF THE SEVERAL STATES OF THE COMMONWEALTH OF AUSTRALIA | OCCUPIED PRIVATE DWELLINGS IN THE METROPOLITAN AREAS | Occupied Private Dwellings in the Metropolitan Areas,Occupied private dwellings classified by weekly rental value and method of occupancy | Weekly rental value of occupied private dwellings by rent purchasers and tenants | Weekly rental value of occupied private dwellings | Weekly rental value and methods of occupancy
57,1972,123,123,124,0,start_matches_index,"Inmates of Dwellings (classified according to Number of Rooms) in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911",INMATES OF DWELLINGS (CLASSIFIED ACCORDING TO NUMBER OF ROOMS) IN THE METROPOLITAN AREAS OF THE SEVERAL STATES OF THE COMMONWEALTH OF AUSTRALIA | INMATES OF DWELLINGS IN THE METROPOLITAN AREAS,Inmates of private dwellings and other than private dwellings by number of rooms | Inmates of dwellings by number of rooms
58,1973,124,124,124,0,start_matches_index,"Inmates of Dwellings (classified according to Materials of which outer walls were built) in the Metropolitan Areas of the several States of the Commonwealth of Australia, at the Census of 3rd April, 1911",INMATES OF DWELLINGS (CLASSIFIED ACCORDING TO MATERIALS OF WHICH OUTER WALLS WERE BUILT) IN THE METROPOLITAN AREAS OF THE SEVERAL STATES OF THE COMMONWEALTH OF AUSTRALIA,Inmates of dwellings by material of outer walls
59,1974,125,125,125,0,start_matches_index,"Average Number of Inmates per Occupied Private Dwelling (classified according to Number of Rooms) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",AVERAGE NUMBER OF INMATES PER OCCUPIED PRIVATE DWELLING,Average number of inmates per occupied private dwelling by number of rooms and state/region
60,1974,125,125,125,0,start_matches_index,"Average Number of Inmates per Room in Occupied Private Dwellings (classified according to Number of Rooms) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",AVERAGE NUMBER OF INMATES PER ROOM IN OCCUPIED PRIVATE DWELLINGS,Average number of inmates per room in occupied private dwellings by number of rooms and state/region
61,1974,125,125,125,0,start_matches_index,"Average Weekly Rental Value of Occupied Private Dwellings (classified according to Number of Rooms) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",AVERAGE WEEKLY RENTAL VALUE OF OCCUPIED PRIVATE DWELLINGS,Average weekly rental value of occupied private dwellings by number of rooms and state/region
62,1976,127,127,127,0,start_matches_index,"Average Weekly Rental Value per Room in Occupied Private Dwellings (classified according to Number of Rooms) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",AVERAGE WEEKLY RENTAL VALUE PER ROOM IN OCCUPIED PRIVATE DWELLINGS,Average weekly rental value per room
63,1976,127,127,127,0,start_matches_index,"Average Weekly Rental Value per Inmate in Occupied Private Dwellings (classified according to Number of Rooms) in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",AVERAGE WEEKLY RENTAL VALUE PER INMATE IN OCCUPIED PRIVATE DWELLINGS,Average weekly rental value per inmate
64,1978,129,129,147,0,start_matches_index,"Occupied Dwellings in each County, etc., of the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms--","OCCUPIED DWELLINGS IN EACH COUNTY, ETC., OF THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA | Occupied dwellings in each county, etc., of the several states | OCCUPIED DWELLINGS IN EACH COUNTY, ETC., OF THE SEVERAL STATES","Number of occupied dwellings containing rooms to the number of 1 to 8, classified by private and other dwellings | Number of occupied dwellings containing rooms to the number of 1 to 8 | Number of occupied dwellings containing rooms to the number of 9 to 15 | Number of occupied dwellings containing rooms to the number of 16, 17, 18, 19, 20 and over, Unspecified, and Total | Number of occupied dwellings containing rooms 16 to 20 and over, unspecified, and total | Number of occupied dwellings containing rooms to the number of 1 to 15 | Number of occupied dwellings containing specified number of rooms | Number of occupied dwellings containing rooms to the number of 16, 17, 18, 19, 20 and over, unspecified, and total | Number of occupied dwellings containing rooms to the number of 16, 17, 18, 19, 20 and over, Unspecified, Total, and Other Camps without Dwellings | Occupied dwellings by number of rooms"
65,1997,148,148,166,0,start_matches_index,"Occupied Dwellings in each County, etc., of the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Materials of which outer walls were built--","OCCUPIED DWELLINGS IN EACH COUNTY, ETC., OF THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA | OCCUPIED DWELLINGS IN EACH COUNTY, ETC., OF THE SEVERAL STATES | Occupied dwellings in each county, etc., of the several states",Occupied dwellings by material of outer walls | Materials of which outer walls were built | MATERIALS OF WHICH OUTER WALLS WERE BUILT | Materials of outer walls of dwellings
66,2016,167,167,177,0,start_matches_index,"Average Weekly Rental Value of Private Dwellings in each County, etc., of the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Number of Rooms--","AVERAGE WEEKLY RENTAL VALUE OF PRIVATE DWELLINGS IN EACH COUNTY, ETC., At the Census of 3rd April, 1911, Classified according to number of Rooms | Average weekly rental value of private dwellings containing rooms to the number of 1 to 9 | AVERAGE WEEKLY RENTAL VALUE OF PRIVATE DWELLINGS CONTAINING ROOMS TO THE NUMBER OF 10-16 AND OVER | AVERAGE WEEKLY RENTAL VALUE OF PRIVATE DWELLINGS CONTAINING ROOMS TO THE NUMBER OF 1-9 | DWELLINGS IN EACH COUNTY, ETC.—continued. AVERAGE WEEKLY RENTAL VALUE OF PRIVATE DWELLINGS CONTAINING ROOMS TO THE NUMBER OF— | AVERAGE WEEKLY RENTAL VALUE OF PRIVATE DWELLINGS CONTAINING ROOMS TO THE NUMBER OF | AVERAGE WEEKLY RENTAL VALUE OF PRIVATE DWELLINGS",Average weekly rental value of private dwellings by number of rooms | Average weekly rental value of private dwellings by number of rooms and county | Average weekly rental value of private dwellings containing 1 to 9 rooms
67,2026,177,177,181,0,start_matches_index,"Area, Population, Density, Occupied Dwellings and Rental Values in each County, etc., of the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911--","AREA, POPULATION, DENSITY, OCCUPIED DWELLINGS AND RENTAL VALUES IN EACH COUNTY, ETC., OF THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA | AVERAGE WEEKLY RENTAL VALUE OF PRIVATE DWELLINGS CONTAINING ROOMS TO THE NUMBER OF... - continued | AREA, POPULATION, DENSITY, OCCUPIED DWELLINGS AND RENTAL VALUES - continued | AREA, POPULATION, DENSITY, OCCUPIED DWELLINGS AND RENTAL VALUES","Area, population, density, occupied dwellings, and rental values | Average weekly rental value of private dwellings by number of rooms | Area, population, density, occupied dwellings and rental values | Area, population, density, occupied dwellings, and rental values by county and census district | Census data for Queensland, South Australia, and Western Australia | Area, population, density, occupied dwellings and rental values by statistical district"
