doc_id,pdf_page,decision,table_numbers,notes,updated_at,confirmed_page_title,confirmation_source
1911_census_volume_ii_part_vi_religions,104,correct_match,44 | 45,,2026-09-22T05:35:45+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:35:45+00:00
1911_census_volume_ii_part_vi_religions,105,correct_match,44 | 45,,2026-09-22T05:35:54+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:35:54+00:00
1911_census_volume_ii_part_vi_religions,106,correct_match,45 | 46,,2026-09-22T05:35:57+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:35:57+00:00
1911_census_volume_ii_part_viii_non_european_races,50,correct_match,40 | 41,,2026-09-22T05:36:02+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:36:02+00:00
1911_census_volume_ii_part_viii_non_european_races,51,correct_match,40 | 41,,2026-09-22T05:40:49+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:40:49+00:00
1911_census_volume_ii_part_viii_non_european_races,52,correct_match,41 | 42,,2026-09-22T05:41:05+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:41:05+00:00
1911_census_volume_ii_part_viii_non_european_races,54,correct_match,43 | 44,,2026-09-22T05:41:08+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:41:08+00:00
1911_census_volume_ii_part_viii_non_european_races,55,correct_match,43 | 44,,2026-09-22T05:41:40+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:41:40+00:00
1911_census_volume_ii_part_viii_non_european_races,56,correct_match,44 | 45,,2026-09-22T05:41:45+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:41:45+00:00
1911_census_volume_ii_part_viii_non_european_races,58,correct_match,46 | 47,,2026-09-22T05:42:07+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:42:07+00:00
1911_census_volume_ii_part_viii_non_european_races,59,correct_match,46 | 47,,2026-09-22T05:42:16+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:42:16+00:00
1911_census_volume_ii_part_viii_non_european_races,60,correct_match,47 | 48,,2026-09-22T05:42:21+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:42:21+00:00
1911_census_volume_ii_part_viii_non_european_races,62,correct_match,49 | 50,,2026-09-22T05:42:24+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:42:24+00:00
1911_census_volume_ii_part_viii_non_european_races,63,correct_match,49 | 50,,2026-09-22T05:42:35+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:42:35+00:00
1911_census_volume_ii_part_viii_non_european_races,64,correct_match,50 | 51,,2026-09-22T05:42:37+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:42:37+00:00
1911_census_volume_ii_part_viii_non_european_races,66,correct_match,52 | 53,,2026-09-22T05:42:40+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:42:40+00:00
1911_census_volume_ii_part_viii_non_european_races,67,correct_match,52 | 53,,2026-09-22T05:42:49+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:42:49+00:00
1911_census_volume_ii_part_viii_non_european_races,68,correct_match,53 | 54,,2026-09-22T05:42:53+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:42:53+00:00
1911_census_volume_ii_part_viii_non_european_races,107,correct_match,80,,2026-09-22T05:43:04+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:43:04+00:00
1911_census_volume_ii_part_viii_non_european_races,108,correct_match,81,,2026-09-22T05:43:08+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:43:08+00:00
1911_census_volume_ii_part_viii_non_european_races,109,correct_match,81,,2026-09-22T05:43:12+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:43:12+00:00
1911_census_volume_ii_part_viii_non_european_races,110,correct_match,82,,2026-09-22T05:43:15+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:43:15+00:00
1911_census_volume_ii_part_viii_non_european_races,111,correct_match,82,,2026-09-22T05:43:23+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:43:23+00:00
1911_census_volume_ii_part_viii_non_european_races,112,correct_match,83 | 84,,2026-09-22T05:43:25+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:43:25+00:00
1911_census_volume_ii_part_viii_non_european_races,130,correct_match,89,,2026-09-22T05:43:28+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:43:28+00:00
1911_census_volume_ii_part_viii_non_european_races,131,correct_match,89,,2026-09-22T05:43:44+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:43:44+00:00
1911_census_volume_ii_part_viii_non_european_races,132,correct_match,89 | 90,,2026-09-22T05:43:47+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:43:47+00:00
1911_census_volume_iii_part_x_families,58,correct_match,16,,2026-09-22T05:43:50+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:43:50+00:00
1911_census_volume_iii_part_x_families,59,correct_match,16,,2026-09-22T05:43:59+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:43:59+00:00
1911_census_volume_iii_part_x_families,60,correct_match,16 | 17,,2026-09-22T05:44:04+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:44:04+00:00
1911_census_volume_iii_part_xiii_dwellings,17,correct_match,10 | 11,,2026-09-22T05:44:11+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:44:11+00:00
1911_census_volume_iii_part_xiii_dwellings,18,correct_match,11,,2026-09-22T05:44:14+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:44:14+00:00
1911_census_volume_iii_part_xiii_dwellings,19,correct_match,11,,2026-09-22T05:44:19+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:44:19+00:00
1911_census_volume_iii_part_xiii_dwellings,20,correct_match,11,,2026-09-22T05:44:22+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:44:22+00:00
1911_census_volume_iii_part_xiii_dwellings,21,correct_match,11,,2026-09-22T05:44:37+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:44:37+00:00
1911_census_volume_iii_part_xiv_summary,178,correct_match,150,,2026-09-22T05:44:42+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:44:42+00:00
1911_census_volume_iii_part_xiv_summary,179,correct_match,150,,2026-09-22T05:45:06+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:45:06+00:00
1911_census_volume_iii_part_xiv_summary,180,correct_match,151 | 152 | 153,,2026-09-22T05:45:10+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:45:10+00:00
1911_census_volume_iii_part_xiv_summary,181,correct_match,151 | 152 | 153,,2026-09-22T05:45:27+00:00,,Completed mapping review; explore/output/2026-09-20_census-qa-dashboard/mapping_review_decisions.csv; 2026-09-22T05:45:27+00:00
1911_census_volume_ii_part_ii_birthplaces,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:31+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:31+00:00
1911_census_volume_ii_part_ii_birthplaces,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:37+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:37+00:00
1911_census_volume_ii_part_ii_birthplaces,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:38+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:38+00:00
1911_census_volume_ii_part_ii_birthplaces,4,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:38+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:38+00:00
1911_census_volume_ii_part_iii_length_of_residence,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:42+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:42+00:00
1911_census_volume_ii_part_iii_length_of_residence,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:44+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:44+00:00
1911_census_volume_ii_part_iii_length_of_residence,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:45+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:45+00:00
1911_census_volume_ii_part_iv_education,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:47+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:47+00:00
1911_census_volume_ii_part_iv_education,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:48+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:48+00:00
1911_census_volume_ii_part_v_schooling,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:49+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:49+00:00
1911_census_volume_ii_part_v_schooling,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:50+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:50+00:00
1911_census_volume_ii_part_vi_religions,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:50+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:50+00:00
1911_census_volume_ii_part_vi_religions,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:51+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:51+00:00
1911_census_volume_ii_part_vi_religions,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:52+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:52+00:00
1911_census_volume_ii_part_vi_religions,4,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:57+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:57+00:00
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:57+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:57+00:00
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:30:59+00:00,,Manual coverage QA dashboard; 2026-09-22T06:30:59+00:00
1911_census_volume_ii_part_viii_non_european_races,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:00+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:00+00:00
1911_census_volume_ii_part_viii_non_european_races,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:01+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:01+00:00
1911_census_volume_ii_part_viii_non_european_races,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:01+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:01+00:00
1911_census_volume_ii_part_viii_non_european_races,4,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:02+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:02+00:00
1911_census_volume_ii_part_viii_non_european_races,5,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:03+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:03+00:00
1911_census_volume_ii_part_viii_non_european_races,6,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:03+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:03+00:00
1911_census_volume_iii_part_ix_conjugal_condition,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:04+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:04+00:00
1911_census_volume_iii_part_ix_conjugal_condition,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:04+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:04+00:00
1911_census_volume_iii_part_x_families,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:05+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:05+00:00
1911_census_volume_iii_part_x_families,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:05+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:05+00:00
1911_census_volume_iii_part_x_families,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:06+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:06+00:00
1911_census_volume_iii_part_xi_life_tables,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:06+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:06+00:00
1911_census_volume_iii_part_xi_life_tables,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:07+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:07+00:00
1911_census_volume_iii_part_xii_occupations,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:07+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:07+00:00
1911_census_volume_iii_part_xii_occupations,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:07+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:07+00:00
1911_census_volume_iii_part_xii_occupations,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:08+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:08+00:00
1911_census_volume_iii_part_xii_occupations,4,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:08+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:08+00:00
1911_census_volume_iii_part_xiii_dwellings,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:09+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:09+00:00
1911_census_volume_iii_part_xiii_dwellings,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:09+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:09+00:00
1911_census_volume_iii_part_xiii_dwellings,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:10+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:10+00:00
1911_census_volume_iii_part_xiii_dwellings,4,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:11+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:11+00:00
1911_census_volume_iii_part_xiv_summary,1,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:12+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:12+00:00
1911_census_volume_iii_part_xiv_summary,2,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:12+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:12+00:00
1911_census_volume_iii_part_xiv_summary,3,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:13+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:13+00:00
1911_census_volume_iii_part_xiv_summary,4,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:13+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:13+00:00
1911_census_volume_iii_part_xiv_summary,5,exclude_page,,"No data table: front matter, contents or blank.",2026-09-22T06:31:18+00:00,,Manual coverage QA dashboard; 2026-09-22T06:31:18+00:00
