doc_id,file_name,title,local_path,page_count,page_index,pdf_page,printed_page,page_type,is_contents_or_index,contains_numbered_table_list,contains_page_reference_column,is_table_page,likely_continues_contents,confidence,reason,warnings,error
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,3,4,4,contents,True,True,True,False,True,1,"The page is a continuation of the table of contents, listing table numbers, descriptions, and corresponding page numbers.",,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,4,5,5,table,False,False,False,True,False,1,The page contains a statistical table titled '1—NUMBER OF MALES RECORDED AT EACH AGE IN EACH STATE AND TERRITORY'.,,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,5,6,6,table,False,False,False,True,False,1,The page contains statistical data tables showing the number of males and females recorded at each age by state.,,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,6,7,7,table,False,False,False,True,False,1,"The page contains a statistical table showing the number of females recorded at each age, broken down by state and territory.",,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,7,8,8,table,False,False,False,True,False,1,The page contains two statistical tables (Table 2 and Table 3) showing census data by age and state.,,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,8,9,9,table,False,False,False,True,False,1,"The page contains a statistical table showing the number of persons at each age, broken down by state.",,
1911_census_volume_ii_part_i_ages,1911 Census - Volume II - Part I Ages.pdf,2112.0 - Volume II - Part I Ages,data\raw\abs_1911_census\1911 Census - Volume II - Part I Ages.pdf,104,9,10,10,table,False,False,False,True,False,1,The page contains two distinct statistical tables presenting census data by age groups and states.,,
1911_census_volume_ii_part_ii_birthplaces,1911 Census - Volume II - Part II Birthplaces.pdf,2112.0 - Volume II - Part II Birthplaces,data\raw\abs_1911_census\1911 Census - Volume II - Part II Birthplaces.pdf,282,0,1,,title_page,False,False,False,False,False,1,"The page is clearly a title page for the census document, containing the title, part number, and author information.",,
1911_census_volume_ii_part_ii_birthplaces,1911 Census - Volume II - Part II Birthplaces.pdf,2112.0 - Volume II - Part II Birthplaces,data\raw\abs_1911_census\1911 Census - Volume II - Part II Birthplaces.pdf,282,1,2,106,contents,True,True,True,False,False,1,The page is explicitly titled 'CONTENTS' and lists numbered tables with corresponding page references.,,
1911_census_volume_ii_part_ii_birthplaces,1911 Census - Volume II - Part II Birthplaces.pdf,2112.0 - Volume II - Part II Birthplaces,data\raw\abs_1911_census\1911 Census - Volume II - Part II Birthplaces.pdf,282,2,3,107,contents,True,True,True,False,True,1,The page is explicitly titled 'CONTENTS—continued' and lists table numbers with corresponding page references.,,
1911_census_volume_ii_part_ii_birthplaces,1911 Census - Volume II - Part II Birthplaces.pdf,2112.0 - Volume II - Part II Birthplaces,data\raw\abs_1911_census\1911 Census - Volume II - Part II Birthplaces.pdf,282,3,4,108,contents,True,True,True,False,True,1,The page is explicitly titled 'CONTENTS—continued' and lists table numbers with corresponding page references.,,
1911_census_volume_ii_part_ii_birthplaces,1911 Census - Volume II - Part II Birthplaces.pdf,2112.0 - Volume II - Part II Birthplaces,data\raw\abs_1911_census\1911 Census - Volume II - Part II Birthplaces.pdf,282,4,5,109,table,False,False,False,True,False,1,The page contains a statistical table titled '1. MALE POPULATION OF THE STATES AND TERRITORIES OF THE COMMONWEALTH'.,,
1911_census_volume_ii_part_ii_birthplaces,1911 Census - Volume II - Part II Birthplaces.pdf,2112.0 - Volume II - Part II Birthplaces,data\raw\abs_1911_census\1911 Census - Volume II - Part II Birthplaces.pdf,282,5,6,110,table,False,False,False,True,False,1,"The page contains a statistical data table showing male population by birthplace, specifically for Asia and Africa.",,
1911_census_volume_ii_part_ii_birthplaces,1911 Census - Volume II - Part II Birthplaces.pdf,2112.0 - Volume II - Part II Birthplaces,data\raw\abs_1911_census\1911 Census - Volume II - Part II Birthplaces.pdf,282,6,7,111,table,False,False,False,True,False,1,"The page contains a statistical table detailing male population by birthplace, continuing from previous pages.",,
1911_census_volume_ii_part_ii_birthplaces,1911 Census - Volume II - Part II Birthplaces.pdf,2112.0 - Volume II - Part II Birthplaces,data\raw\abs_1911_census\1911 Census - Volume II - Part II Birthplaces.pdf,282,7,8,112,table,False,False,False,True,False,1,The page contains two statistical tables detailing population by birthplace.,,
1911_census_volume_ii_part_ii_birthplaces,1911 Census - Volume II - Part II Birthplaces.pdf,2112.0 - Volume II - Part II Birthplaces,data\raw\abs_1911_census\1911 Census - Volume II - Part II Birthplaces.pdf,282,8,9,113,table,False,False,False,True,False,1,The page contains a statistical table showing the female population of states and territories by birthplace.,,
1911_census_volume_ii_part_ii_birthplaces,1911 Census - Volume II - Part II Birthplaces.pdf,2112.0 - Volume II - Part II Birthplaces,data\raw\abs_1911_census\1911 Census - Volume II - Part II Birthplaces.pdf,282,9,10,114,table,False,False,False,True,False,1,"The page contains a statistical table showing the female population by birthplace, specifically for Africa and America.",,
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,0,1,,title_page,False,False,False,False,False,1,"The page is clearly a title page for the document, containing the title, census date, part number, and author information.",,
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,1,2,,blank,False,False,False,False,False,1,The page is entirely blank.,,
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,2,3,389,contents,True,True,True,False,False,1,The page is explicitly titled 'CONTENTS' and lists numbered tables with corresponding page references.,,
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,3,4,390,table,False,False,False,True,False,1,"The page contains a statistical table titled 'Population of the States and Territories of the Commonwealth of Australia at the Census of 3rd April, 1911, classified according to length of residence in Australia'.",,
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,4,5,391,table,False,False,False,True,False,1,The page contains a statistical data table showing population by length of residence across Australian states and territories.,,
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,5,6,392,table,False,False,False,True,False,1,The page contains a statistical data table showing population counts by length of residence and age for males and females.,,
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,6,7,393,table,False,False,False,True,False,1,The page contains a statistical table showing population data by age and length of residence.,,
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,7,8,394,table,False,False,False,True,False,1,The page contains two statistical tables showing population data by length of residence and age.,,
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,8,9,395,table,False,False,False,True,False,1,"The page contains statistical data tables for 'Length of Residence' in Australia, categorized by age and gender.",,
1911_census_volume_ii_part_iii_length_of_residence,1911 Census - Volume II - Part III Length of Residence.pdf,2112.0 - Volume II - Part III Length of Residence,data\raw\abs_1911_census\1911 Census - Volume II - Part III Length of Residence.pdf,54,9,10,396,table,False,False,False,True,False,1,The page contains statistical data tables for 'Length of Residence' by age for females and persons.,,
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,0,1,,title_page,False,False,False,False,False,1,"The page is clearly a title page for the document, containing the title, date, and authorship information.",,
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,1,2,442,contents,True,True,True,False,False,1,The page is explicitly titled 'CONTENTS' and lists numbered tables with corresponding page references.,,
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,2,3,443,table,False,False,False,True,False,1,The page contains two statistical tables (Table 1 and Table 2) presenting census data on education.,,
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,3,4,444,table,False,False,False,True,False,1,The page contains a statistical table titled '3.—NUMBER OF MALES RECORDED IN EACH STATE AND TERRITORY OF THE COMMONWEALTH'.,,
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,4,5,445,table,False,False,False,True,False,1,The page contains statistical data tables (Table 3 and Table 4) showing census figures for males and females by state and age.,,
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,5,6,446,table,False,False,False,True,False,1,The page contains statistical data tables regarding education and literacy by state and age group.,,
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,6,7,447,table,False,False,False,True,False,1,The page contains a statistical table titled '5 - NUMBER OF PERSONS RECORDED IN EACH STATE AND TERRITORY OF THE COMMONWEALTH'.,,
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,7,8,448,table,False,False,False,True,False,1,The page contains statistical data tables (Table 5 and Table 6) with rows and columns of numerical data.,,
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,8,9,449,table,False,False,False,True,False,1,The page contains statistical data tables (Table 6 continued and Table 7) regarding education and age.,,
1911_census_volume_ii_part_iv_education,1911 Census - Volume II - Part IV Education.pdf,2112.0 - Volume II - Part IV Education,data\raw\abs_1911_census\1911 Census - Volume II - Part IV Education.pdf,182,9,10,450,table,False,False,False,True,False,1,The page contains statistical data tables (Table 7 continued and Table 8) with no index or contents structure.,,
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,0,1,,title_page,False,False,False,False,False,1,"The page is clearly a title page for the document, containing the title, census date, part number, and author information.",,
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,1,2,624,contents,True,True,True,False,False,1,The page is explicitly titled 'CONTENTS' and lists numbered tables with corresponding page references.,,
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,2,3,625,table,False,False,False,True,False,1,The page contains a statistical table titled '1. NUMBER OF PERSONS OF ALL AGES RECORDED IN EACH STATE AND TERRITORY OF THE COMMONWEALTH'.,,
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,3,4,626,table,False,False,False,True,False,1,The page contains a statistical table titled 'Number of children aged last birthday from 6 to 13 years recorded in each state and territory of the Commonwealth'.,,
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,4,5,627,table,False,False,False,True,False,1,The page contains a statistical table titled '3.—NUMBER OF MALES RECORDED IN EACH STATE AND TERRITORY OF THE COMMONWEALTH'.,,
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,5,6,628,table,False,False,False,True,False,1,The page contains a statistical table titled '4.—NUMBER OF FEMALES RECORDED IN EACH STATE AND TERRITORY OF THE COMMONWEALTH'.,,
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,6,7,629,table,False,False,False,True,False,1,The page contains a statistical table titled '5.—NUMBER OF PERSONS RECORDED IN EACH STATE AND TERRITORY OF THE COMMONWEALTH'.,,
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,7,8,630,table,False,False,False,True,False,1,The page contains a statistical table titled '6.--NUMBER OF MALES RECORDED IN EACH METROPOLITAN AREA OF THE COMMONWEALTH'.,,
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,8,9,631,table,False,False,False,True,False,1,The page contains a statistical table titled '7.—NUMBER OF FEMALES RECORDED IN EACH METROPOLITAN AREA OF THE COMMONWEALTH'.,,
1911_census_volume_ii_part_v_schooling,1911 Census - Volume II - Part V Schooling.pdf,2112.0 - Volume II - Part V Schooling,data\raw\abs_1911_census\1911 Census - Volume II - Part V Schooling.pdf,124,9,10,632,table,False,False,False,True,False,1,The page contains a statistical table titled '8.—NUMBER OF PERSONS RECORDED IN EACH METROPOLITAN AREA OF THE COMMONWEALTH'.,,
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,0,1,,title_page,False,False,False,False,False,1,The page is clearly a title page for the 1911 Census Part VI Religions document.,,
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,1,2,,blank,False,False,False,False,False,1,The page is entirely blank.,,
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,2,3,749,contents,True,True,True,False,False,1,The page is explicitly titled 'CONTENTS' and lists numbered tables with corresponding page references.,,
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,3,4,750,contents,True,True,True,False,True,1,The page is explicitly titled 'CONTENTS—continued' and lists table numbers with corresponding page references.,,
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,4,5,751,table,False,False,False,True,False,1,The page contains a statistical table titled '1.-MALE POPULATION OF THE STATES AND TERRITORIES OF THE COMMONWEALTH' with data organized by religion and state.,,
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,5,6,752,table,False,False,False,True,False,1,The page contains a statistical table detailing the male population by religion across Australian states and territories.,,
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,6,7,753,table,False,False,False,True,False,1,The page contains a statistical table showing the male population of states and territories by religion.,,
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,7,8,754,table,False,False,False,True,False,1,The page is a statistical table showing the male population of states and territories by religion.,,
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,8,9,755,table,False,False,False,True,False,1,The page contains a statistical table showing male population by religion across Australian states and territories.,,
1911_census_volume_ii_part_vi_religions,1911 Census - Volume II - Part VI Religions.pdf,2112.0 - Volume II - Part VI Religions,data\raw\abs_1911_census\1911 Census - Volume II - Part VI Religions.pdf,119,9,10,756,table,False,False,False,True,False,1,"The page contains a statistical table detailing the male population by religion, specifically categories 21 through 25.",,
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,2112.0 - Volume II - Part VII Blindness and Deaf Mutism,data\raw\abs_1911_census\1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,32,0,1,,title_page,False,False,False,False,False,1,"The page is clearly a title page for the document, containing the title, census date, part number, and author information.",,
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,2112.0 - Volume II - Part VII Blindness and Deaf Mutism,data\raw\abs_1911_census\1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,32,1,2,866,contents,True,True,True,False,False,1,The page is explicitly titled 'CONTENTS' and lists tables with their corresponding page numbers.,,
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,2112.0 - Volume II - Part VII Blindness and Deaf Mutism,data\raw\abs_1911_census\1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,32,2,3,867,table,False,False,False,True,False,1,The page contains statistical data tables comparing blind and deaf-mute populations across Australian states for the 1901 and 1911 censuses.,,
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,2112.0 - Volume II - Part VII Blindness and Deaf Mutism,data\raw\abs_1911_census\1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,32,3,4,868,table,False,False,False,True,False,1,The page contains a statistical table titled '2. AGES OF BLIND PERSONS RECORDED IN THE SEVERAL STATES OF THE COMMONWEALTH OF AUSTRALIA'.,,
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,2112.0 - Volume II - Part VII Blindness and Deaf Mutism,data\raw\abs_1911_census\1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,32,4,5,869,table,False,False,False,True,False,1,The page contains a statistical table titled '3.—BIRTHPLACES OF THE BLIND RECORDED IN THE SEVERAL STATES OF THE COMMONWEALTH OF AUSTRALIA'.,,
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,2112.0 - Volume II - Part VII Blindness and Deaf Mutism,data\raw\abs_1911_census\1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,32,5,6,870,table,False,False,False,True,False,1,"The page contains statistical data tables regarding birthplaces of the blind, organized by state and category.",,
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,2112.0 - Volume II - Part VII Blindness and Deaf Mutism,data\raw\abs_1911_census\1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,32,6,7,871,table,False,False,False,True,False,1,The page contains a statistical table titled '4.—BLIND MALES RECORDED IN THE COMMONWEALTH OF AUSTRALIA' with data organized by birthplace and age.,,
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,2112.0 - Volume II - Part VII Blindness and Deaf Mutism,data\raw\abs_1911_census\1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,32,7,8,872,table,False,False,False,True,False,1,The page contains a statistical table titled '5. BLIND FEMALES RECORDED IN THE COMMONWEALTH OF AUSTRALIA' with data categorized by birthplaces and age groups.,,
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,2112.0 - Volume II - Part VII Blindness and Deaf Mutism,data\raw\abs_1911_census\1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,32,8,9,873,table,False,False,False,True,False,1,The page contains a statistical table titled '6.—BLIND PERSONS RECORDED IN THE COMMONWEALTH OF AUSTRALIA' with data organized by birthplace and age.,,
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,2112.0 - Volume II - Part VII Blindness and Deaf Mutism,data\raw\abs_1911_census\1911 Census - Volume II - Part VII Blindness and Deaf Mutism.pdf,32,9,10,874,table,False,False,False,True,False,1,"The page contains a statistical table titled '7.—BLIND MALES RECORDED IN THE SEVERAL STATES OF THE COMMONWEALTH OF AUSTRALIA' with data categorized by state, age, and marital status.",,
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,0,1,,title_page,False,False,False,False,False,1,"The page is clearly a title page for the 1911 Census publication, Part VIII.",,
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,1,2,,blank,False,False,False,False,False,1,The page is entirely blank.,,
1911_census_volume_ii_part_viii_non_european_races,1911 Census - Volume II - Part VIII Non-European Races.pdf,2112.0 - Volume II - Part VIII Non-European Races,data\raw\abs_1911_census\1911 Census - Volume II - Part VIII Non-European Races.pdf,177,2,3,899,contents,True,True,True,False,False,1,The page is explicitly titled 'CONTENTS' and lists numbered tables with corresponding page references.,,
