doc_id,model,page_index,pdf_page,printed_page,page_type,has_table,table_count,table_numbers,table_titles,table_subjects,geographies,page_roles,confidence,warnings,error
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,15,16,16,table,True,2,10 | 11,OCCUPIED DWELLINGS IN THE | OCCUPIED DWELLINGS IN THE SEVERAL STATES AND,Number of dwellings containing rooms to the number of 1 to 11,Commonwealth of Australia | New South Wales,complete_on_page | starts,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,16,17,1865,table,True,2,,"COMMONWEALTH OF AUSTRALIA, to Nature of Dwelling and Number of Rooms by Full-blooded Aboriginals. | TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA to Nature of Dwelling and Number of Rooms by Full-blooded Aboriginals. I.—NEW SOUTH WALES.",Number of dwellings by number of rooms and nature of dwelling,Commonwealth of Australia | New South Wales,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,17,18,1866,table,True,1,11,Occupied dwellings in the several states,Number of dwellings containing rooms to the number of 1 to 11,"Victoria, Queensland, South Australia",complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,18,19,1867,table,True,1,,Number of Dwellings containing rooms to the number of,Dwellings by number of rooms and nature of dwelling,"Victoria, Queensland, South Australia",continues,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,19,20,1868,table,True,1,11,OCCUPIED DWELLINGS IN THE SEVERAL STATES,Number of dwellings containing rooms to the number of 1 to 11,"Western Australia, Tasmania, Northern Territory, Federal Territory",continues,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,20,21,1869,table,True,1,,NUMBER OF DWELLINGS CONTAINING ROOMS TO THE NUMBER OF,Dwellings by number of rooms and nature of dwelling,"Western Australia, Tasmania, Northern Territory, Federal Territory",continues,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,21,22,22,table,True,1,12,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, Classified according to Materials",Occupied dwellings by materials of outer walls and number of rooms,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,22,23,1871,table,True,1,,"COMMONWEALTH OF AUSTRALIA, of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals.",Dwellings by number of rooms and materials of outer walls,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,23,24,1872,table,True,1,13,"Occupied Dwellings in the Commonwealth of Australia, 1911, Classified according to Materials","Number of dwellings containing rooms to the number of 1 to 11, by material of outer walls",Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,24,25,1873,table,True,1,,STATE OF NEW SOUTH WALES of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals,Dwellings by number of rooms and materials of outer walls,New South Wales,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,25,26,26,table,True,1,14,"OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according to Materials","Number of dwellings containing rooms to the number of 1 to 11, classified by materials of outer walls",Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,26,27,1875,table,True,1,,THE STATE OF VICTORIA of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals,Dwellings by number of rooms and materials of outer walls,Victoria,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,27,28,28,table,True,1,15,"Occupied Dwellings in at the Census of 3rd April, 1911, Classified according to Materials","Number of dwellings containing rooms to the number of 1 to 11, by material of outer walls",Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,28,29,1877,table,True,1,,THE STATE OF QUEENSLAND of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals,Dwellings by number of rooms and materials of outer walls,Queensland,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,29,30,1878,table,True,1,16,OCCUPIED DWELLINGS IN THE COMMONWEALTH,"Number of dwellings containing rooms to the number of 1 to 11, classified by materials of outer walls",Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,30,31,1879,table,True,1,,STATE OF SOUTH AUSTRALIA of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals,"Number of Dwellings Containing Rooms to the Number of 12 to 20 and over, and Materials of which Outer Walls were built",South Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,31,32,1880,table,True,1,17,OCCUPIED DWELLINGS IN THE COMMONWEALTH OF AUSTRALIA,Occupied dwellings classified according to materials and number of rooms,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,32,33,1881,table,True,1,,STATE OF WESTERN AUSTRALIA of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals.,"Number of Dwellings containing rooms to the number of, by materials of outer walls",Western Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,33,34,1882,table,True,2,18 | 19,"Occupied Dwellings in at the Census of 3rd April, 1911, Classified according to Materials",Number of dwellings containing rooms to the number of 1 to 11,Commonwealth of Australia,complete_on_page | starts,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,34,35,1883,table,True,2,,THE STATE OF TASMANIA of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals | THE NORTHERN TERRITORY of which Outer Walls were built and Number of Rooms by Full-blooded Aboriginals,Dwellings by number of rooms and materials of outer walls,Tasmania | Northern Territory,complete_on_page | starts,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,35,36,1884,table,True,2,19 | 20,"OCCUPIED DWELLINGS IN | OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according to Materials (Exclusive of Dwellings occupied solely",Dwellings classified by materials of outer walls and number of rooms | Private dwellings and dwellings other than private classified by materials of outer walls and number of rooms,Australia,complete_on_page,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,36,37,1885,table,True,2,,Number of Dwellings Containing Rooms to the Number of | Private Dwellings (Private Houses and Tenements therein),Dwellings by number of rooms and materials of outer walls,Northern Territory | Federal Territory,continues | complete_on_page,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,37,38,38,table,True,1,21,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, Classified according to Materials",Number of occupied dwellings containing inmates to the number of 1 to 11,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,38,39,1887,table,True,1,,Commonwealth of Australia: Number of Occupied Dwellings Containing Inmates to the Number of - Materials of which Outer Walls were Built,Dwellings by number of inmates and material of outer walls,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,39,40,40,table,True,1,22,"OCCUPIED DWELLINGS IN THE COMMONWEALTH AT THE CENSUS OF 3RD APRIL, 1911, CLASSIFIED ACCORDING TO MATERIALS",Occupied dwellings by material of outer walls and number of inmates,Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,40,41,1889,table,True,1,,STATE OF NEW SOUTH WALES of which Outer Walls were built and Number of Inmates by Full-blooded Aboriginals,Occupied dwellings containing inmates by number of inmates and materials of outer walls,New South Wales,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,41,42,42,table,True,1,23,"OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according to Materials (Exclusive of Dwellings occupied solely)",Occupied dwellings classified by materials of outer walls and number of inmates,Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,42,43,1891,table,True,1,,THE STATE OF VICTORIA of which Outer Walls were built and Number of Inmates by Full-blooded Aboriginals,Occupied dwellings by number of inmates and material of outer walls,Victoria,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,43,44,44,table,True,1,24,"OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according to Materials",Occupied dwellings by material of outer walls and number of inmates,Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,44,45,1893,table,True,1,,THE STATE OF QUEENSLAND of which Outer Walls were built and Number of Inmates by Full-blooded Aboriginals,Occupied dwellings by number of inmates and material of outer walls,Queensland,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,45,46,46,table,True,1,25,OCCUPIED DWELLINGS IN THE COMMONWEALTH,Occupied dwellings classified according to materials and number of inmates,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,46,47,47,table,True,1,,STATE OF SOUTH AUSTRALIA of which Outer Walls were built and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings by number of inmates and materials of outer walls,South Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,47,48,48,table,True,1,26,"Occupied Dwellings in the Commonwealth of Australia, 1911, Classified according to Materials",Occupied dwellings classified by material of outer walls and number of inmates,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,48,49,1897,table,True,1,,STATE OF WESTERN AUSTRALIA of which Outer Walls were built and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings containing inmates by number of inmates and materials of outer walls,Western Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,49,50,1898,table,True,2,27 | 28,"Occupied Dwellings in at the Census of 3rd April, 1911, Classified according to Materials",Occupied dwellings by material of outer walls and number of inmates,Australia,complete_on_page | starts,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,50,51,1899,table,True,2,,THE STATE OF TASMANIA of which Outer Walls were built and Number of Inmates solely by Full-blooded Aboriginals | THE NORTHERN TERRITORY of which Outer Walls were built and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings containing inmates by number of inmates and material of outer walls,Tasmania | Northern Territory,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,51,52,52,table,True,2,28 | 29,"Occupied Dwellings in the Commonwealth of Australia, 1911 | Occupied Dwellings in the Commonwealth of Australia, 1911, Classified according to Materials","Occupied dwellings containing inmates to the number of 1 to 11, classified by materials of outer walls",Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,52,53,1901,table,True,2,,No. of Occupied Dwellings Containing Inmates to the Number of | The Federal Territory of which Outer Walls were built and Number of Inmates solely by Full-blooded Aboriginals,Dwellings by number of inmates and materials of outer walls | Private dwellings by materials of outer walls,Northern Territory | Federal Territory,continues | complete_on_page,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,53,54,54,table,True,1,30,"Occupied Dwellings in the Commonwealth of Australia, 1911, classified according to the number of rooms and number of inmates",Dwellings by number of rooms and number of inmates,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,54,55,1903,table,True,1,,Commonwealth of Australia to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,Number of Occupied Dwellings containing Inmates to the Number of Rooms,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,55,56,56,table,True,1,31,OCCUPIED DWELLINGS IN THE COMMONWEALTH,Occupied dwellings classified by number of rooms and type of dwelling,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,56,57,1905,table,True,1,,STATE OF NEW SOUTH WALES to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings containing inmates by number of rooms,New South Wales,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,57,58,58,table,True,1,32,"OCCUPIED DWELLINGS IN THE COMMONWEALTH OF AUSTRALIA, 1911, CLASSIFIED ACCORDING TO NUMBER OF ROOMS","Occupied dwellings classified by number of rooms and type of dwelling (Private, Other than Private, All Dwellings)",Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,58,59,59,table,True,1,,THE STATE OF VICTORIA to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings containing inmates by number of rooms,Victoria,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,59,60,60,table,True,1,33,"OCCUPIED DWELLINGS IN At the Census of 3rd April, 1911, Classified according (Exclusive of Dwellings occupied",Occupied dwellings classified by number of rooms and number of inmates,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,60,61,61,table,True,1,,THE STATE OF QUEENSLAND to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,No. of Occupied Dwellings Containing Inmates to the No. of Rooms,Queensland,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,61,62,62,table,True,1,34,"OCCUPIED DWELLINGS IN THE At the Census of 3rd April, 1911, Classified according (Exclusive of Dwellings occupied",Occupied dwellings classified by number of rooms and type of dwelling,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,62,63,63,table,True,1,,STATE OF SOUTH AUSTRALIA to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings containing inmates to the number of rooms,South Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,63,64,64,table,True,1,35,"OCCUPIED DWELLINGS IN THE At the Census of 3rd April, 1911, Classified according (Exclusive of Dwellings occupied",Number of occupied dwellings containing inmates to the number of rooms,Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,64,65,65,table,True,1,,STATE OF WESTERN AUSTRALIA to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,Occupied dwellings by number of rooms and number of inmates,Western Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,65,66,66,table,True,1,36,"Occupied Dwellings in the Census of 3rd April, 1911, Classified according to the Number of Rooms",Occupied dwellings by number of rooms and number of inmates,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,66,67,1915,table,True,1,,THE STATE OF TASMANIA to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals,Number of Occupied Dwellings Containing Inmates to the No. of Rooms,Tasmania,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,67,68,68,table,True,1,37,OCCUPIED DWELLINGS IN,Occupied dwellings classified by number of rooms and number of inmates,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,68,69,1917,table,True,1,,THE NORTHERN TERRITORY to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals.,Occupied dwellings containing inmates by number of rooms,Northern Territory,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,69,70,70,table,True,1,38,OCCUPIED DWELLINGS IN,Occupied dwellings classified by number of rooms and number of inmates,Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,70,71,71,table,True,1,,THE FEDERAL TERRITORY to Number of Rooms and Number of Inmates solely by Full-blooded Aboriginals.,Number of rooms and number of inmates in dwellings,Federal Territory,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,71,72,72,table,True,1,39,OCCUPIED DWELLINGS IN THE COMMONWEALTH,Private dwellings classified by weekly rental value and number of rooms,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,72,73,73,table,True,1,,COMMONWEALTH OF AUSTRALIA to Weekly Rental Value and Number of Rooms by Full-blooded Aboriginals,"Number of dwellings containing rooms to the number of, by weekly rental value",Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,73,74,74,table,True,1,39,Occupied Dwellings in the Commonwealth,"Dwellings other than private, classified by weekly rental value and number of rooms",Commonwealth of Australia,continues,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,74,75,75,table,True,1,,Number of Dwellings containing rooms to the number of... Dwellings other than private,Dwellings other than private by number of rooms and weekly rental value,Commonwealth of Australia,continues,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,75,76,76,table,True,1,40,OCCUPIED DWELLINGS IN THE COMMONWEALTH,Private dwellings classified by weekly rental value and number of rooms,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,76,77,1925,table,True,1,,STATE OF NEW SOUTH WALES to Weekly Rental Value and Number of Rooms solely by Full-blooded Aboriginals.,Number of Dwellings Containing Rooms to the Number of - Private Dwellings (Private Houses and Tenements therein),New South Wales,complete_on_page,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,77,78,78,table,True,1,40,"Occupied Dwellings in the Commonwealth of Australia, 1911","Dwellings other than private, classified by weekly rental value and number of rooms",Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,78,79,79,table,True,1,,Dwellings other than private,"Number of dwellings containing rooms to the number of, by weekly rental value",New South Wales,continues,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,79,80,1928,table,True,1,41,"Occupied Dwellings in at the Census of 3rd April, 1911, Classified according (Exclusive of Dwellings occupied)",Number of dwellings containing rooms to the number of weekly rental value,Australia,complete_on_page,0.95,Table title is incomplete in the source document.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,80,81,1929,table,True,1,,THE STATE OF VICTORIA to Weekly Rental Value and Number of Rooms solely by Full-blooded Aboriginals,Private dwellings by weekly rental value and number of rooms,Victoria,complete_on_page,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,81,82,82,table,True,1,41,Occupied dwellings in the Commonwealth of Australia,"Dwellings other than private, classified by weekly rental value and number of rooms",Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,82,83,1931,table,True,1,,Number of Dwellings containing rooms to the number of - Dwellings other than private,Dwellings other than private by number of rooms and weekly rental value,Victoria,continues,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,83,84,84,table,True,1,42,"Occupied Dwellings in the Commonwealth of Australia, at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms",Private dwellings (private houses and tenements therein) classified by weekly rental value and number of rooms,Commonwealth of Australia,complete_on_page,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,84,85,1933,table,True,1,,THE STATE OF QUEENSLAND to Weekly Rental Value and Number of Rooms solely by Full-blooded Aboriginals,Private dwellings (private houses and tenements therein) by number of rooms and weekly rental value,Queensland,complete_on_page,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,85,86,86,table,True,1,42,OCCUPIED DWELLINGS IN THE DWELLINGS OTHER THAN PRIVATE,"Number of dwellings containing rooms to the number of 1 to 11, by weekly rental value",Commonwealth of Australia,complete_on_page,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,86,87,1935,table,True,1,,Number of Dwellings containing rooms to the number of - Dwellings other than private,Dwellings other than private by number of rooms and weekly rental value,Queensland,continues,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,87,88,1936,table,True,1,43,OCCUPIED DWELLINGS IN THE [States/Territories missing from header],Private dwellings classified by weekly rental value and number of rooms,Australia,complete_on_page,0.9,Table title is truncated on the page.,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,88,89,1937,table,True,1,,PRIVATE DWELLINGS (PRIVATE HOUSES AND TENEMENTS THEREIN) to Weekly Rental Value and Number of Rooms solely by Full-blooded Aboriginals,Number of dwellings by number of rooms and weekly rental value,South Australia,complete_on_page,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,89,90,90,table,True,1,43,"Occupied Dwellings in the Commonwealth: Dwellings other than Private, classified according to Weekly Rental Value and Number of Rooms","Dwellings other than private, classified by weekly rental value and number of rooms",Commonwealth of Australia,complete_on_page,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,90,91,1939,table,True,1,,Dwellings other than private,"Number of dwellings containing rooms to the number of 12 to 20 and over, unspecified, and total weekly rental value",South Australia,continues,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,91,92,1940,table,True,1,44,OCCUPIED DWELLINGS IN THE,Number of dwellings containing rooms to the number of weekly rental value,Commonwealth of Australia,complete_on_page,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,92,93,1941,table,True,1,,STATE OF WESTERN AUSTRALIA to Weekly Rental Value and Number of Rooms solely by Full-blooded Aboriginals. PRIVATE DWELLINGS (PRIVATE HOUSES AND TENEMENTS THEREIN).,Number of private dwellings by number of rooms and weekly rental value,Western Australia,complete_on_page,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,93,94,1942,table,True,1,44,OCCUPIED DWELLINGS IN THE DWELLINGS OTHER THAN PRIVATE,Number of dwellings containing rooms to the number of 1-11 by weekly rental value,Commonwealth of Australia,complete_on_page,1,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,94,95,1943,table,True,1,,Dwellings other than private,"Number of dwellings containing rooms to the number of 12 to 20 and over, and weekly rental value",Western Australia,continues,0.95,,
abs_1911_census_volume_iii_part_xiii_dwellings,google/gemini-3.1-flash-lite,95,96,96,table,True,1,45,"Occupied Dwellings in [States/Territories] at the Census of 3rd April, 1911, classified according to Weekly Rental Value and Number of Rooms",Private dwellings (private houses and tenements therein) classified by weekly rental value and number of rooms,Australia,starts,0.95,Table title is truncated on the page.,
