doc_id,pdf_page,page_index,page_role,candidate_table_numbers,matched_table_numbers,visible_titles,warnings,image_path,review_decision,review_notes
1911_census_volume_ii_part_i_ages,22,21,boundary_multiple_tables,12 | 11 | 13,11 | 12,"Adjusted Number of Persons at each Age in each State and Territory, at the Census of 3rd April, 1911 | Adjusted Number of Males at and above each Age in each State and Territory, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0022_role_boundary_multiple_tables_cand_12_11_13_match_11_12.png,,
1911_census_volume_ii_part_i_ages,25,24,boundary_multiple_tables,14 | 13 | 15,13 | 14,"Adjusted Number of Females at and above each Age in each State and Territory, at the Census of 3rd April, 1911 | Adjusted Number of Persons at and above each Age in each State and Territory, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0025_role_boundary_multiple_tables_cand_14_13_15_match_13_14.png,,
1911_census_volume_ii_part_i_ages,27,26,boundary_multiple_tables,15 | 14 | 16,14 | 15,"Adjusted Number of Persons at and above each Age in each State and Territory, at the Census of 3rd April, 1911 | Adjusted Number of Males below each Age in each State and Territory, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0027_role_boundary_multiple_tables_cand_15_14_16_match_14_15.png,,
1911_census_volume_ii_part_i_ages,30,29,boundary_multiple_tables,17 | 16 | 18,16 | 17,"16.—ADJUSTED NUMBER OF FEMALES BELOW EACH AGE—continued. | 17.—ADJUSTED NUMBER OF PERSONS BELOW EACH AGE IN EACH STATE AND TERRITORY at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0030_role_boundary_multiple_tables_cand_17_16_18_match_16_17.png,,
1911_census_volume_ii_part_i_ages,32,31,boundary_multiple_tables,18 | 17 | 19,17 | 18,"Adjusted Number of Persons below each Age in each State and Territory, at the Census of 3rd April, 1911 | Adjusted Numbers in the Commonwealth at each Age, at the Censuses of 1881, 1891, 1901, and 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0032_role_boundary_multiple_tables_cand_18_17_19_match_17_18.png,,
1911_census_volume_ii_part_i_ages,35,34,boundary_multiple_tables,20 | 19 | 21,19 | 20,"Adjusted Population in Quinquennial Age Groups, in each State and Territory, at the Census of 3rd April, 1911 | Adjusted Numbers of Males, Females, and Persons in each Quinquennial Age Group per 100,000 of Male, Female, and Total Population respectively, of each State and Territory of the Commonwealth, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0035_role_boundary_multiple_tables_cand_20_19_21_match_19_20.png,,
1911_census_volume_ii_part_i_ages,37,36,boundary_multiple_tables,21 | 20 | 22 | 23,21 | 22,"21.—ADJUSTED NUMBERS IN THE COMMONWEALTH IN QUINQUENNIAL AGE GROUPS at the CENSUSES of 1881, 1891, 1901, and 1911 | 22.—ADJUSTED NUMBERS OF MALES, FEMALES, AND PERSONS IN EACH QUINQUENNIAL AGE GROUP per 100,000 of Male, Female, and Total Population, respectively, of the Commonwealth at the Censuses of 1881, 1891, 1901, and 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0037_role_boundary_multiple_tables_cand_21_20_22_23_match_21_22.png,,
1911_census_volume_ii_part_i_ages,38,37,boundary_multiple_tables,23 | 22 | 24 | 25,23 | 24,"Increases in the Commonwealth in each Quinquennial Age Group, as shewn by the Adjusted Numbers for the Censuses of 1881, 1891, 1901, and 1911 | Number of Males recorded at each Age in the Metropolis of each State, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0038_role_boundary_multiple_tables_cand_23_22_24_25_match_23_24.png,,
1911_census_volume_ii_part_i_ages,41,40,boundary_multiple_tables,26 | 25 | 27,25 | 26,25.—NUMBER OF FEMALES RECORDED AT EACH AGE IN THE METROPOLIS OF EACH STATE-cont. | 26.—NUMBER OF PERSONS RECORDED AT EACH AGE IN THE METROPOLIS OF EACH STATE,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0041_role_boundary_multiple_tables_cand_26_25_27_match_25_26.png,,
1911_census_volume_ii_part_i_ages,58,57,boundary_multiple_tables,31 | 30 | 32 | 33,31 | 32,"New South Wales.—Population of Commonwealth Electoral Divisions, as recorded at the Census of 3rd April, 1911 | New South Wales.—Population of State Electoral Districts, as recorded at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0058_role_boundary_multiple_tables_cand_31_30_32_33_match_31_32.png,,
1911_census_volume_ii_part_i_ages,60,59,boundary_multiple_tables,33 | 32 | 34 | 35,33 | 34,"Victoria.—Number of Males in Quinquennial Age Groups, as recorded in each County, at the Census of 3rd April, 1911 | Victoria.—Number of Females in Quinquennial Age Groups, as recorded in each County, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0060_role_boundary_multiple_tables_cand_33_32_34_35_match_33_34.png,,
1911_census_volume_ii_part_i_ages,62,61,boundary_multiple_tables,35 | 34 | 36,34 | 35,"Victoria.—Number of Females in Quinquennial Age Groups, as recorded in each County, at the Census of 3rd April, 1911 | Victoria.—Number of Persons in Quinquennial Age Groups, as recorded in each County, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0062_role_boundary_multiple_tables_cand_35_34_36_match_34_35.png,,
1911_census_volume_ii_part_i_ages,65,64,boundary_multiple_tables,37 | 36 | 38 | 39,37 | 38,37.—VICTORIA.—POPULATION OF COMMONWEALTH ELECTORAL DIVISIONS | 38.—VICTORIA.—POPULATION OF STATE ELECTORAL PROVINCES,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0065_role_boundary_multiple_tables_cand_37_36_38_39_match_37_38.png,,
1911_census_volume_ii_part_i_ages,74,73,boundary_multiple_tables,44 | 43 | 45 | 46,44 | 45,"Queensland.—Population of Commonwealth Electoral Divisions, as recorded at the Census of 3rd April, 1911 | Queensland.—Population of State Electoral Districts, as recorded at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0074_role_boundary_multiple_tables_cand_44_43_45_46_match_44_45.png,,
1911_census_volume_ii_part_i_ages,83,82,boundary_multiple_tables,50 | 49 | 51 | 52 | 53,50 | 51 | 52,"South Australia.—Population of Commonwealth Electoral Divisions, as recorded at the Census of 3rd April, 1911 | South Australia.—Population of Council Electoral Districts, as recorded at the Census of 3rd April, 1911 | South Australia.—Population of Assembly Electoral Districts, as recorded at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0083_role_boundary_multiple_tables_cand_50_49_51_52_53_match_50_51_52.png,,
1911_census_volume_ii_part_i_ages,84,83,boundary_multiple_tables,53 | 52 | 54 | 55,53 | 54,"53.—Western Australia.—Number of Males in Quinquennial Age Groups, as recorded in each Statistical District, at the Census of 3rd April, 1911 | 54.—Western Australia.—Number of Females in Quinquennial Age Groups, as recorded in each Statistical District, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0084_role_boundary_multiple_tables_cand_53_52_54_55_match_53_54.png,,
1911_census_volume_ii_part_i_ages,85,84,boundary_multiple_tables,53 | 52 | 54 | 55,53 | 54,"Western Australia.—Number of Males in Quinquennial Age Groups, as recorded in each Statistical District, at the Census of 3rd April, 1911 | Western Australia.—Number of Females in Quinquennial Age Groups, as recorded in each Statistical District, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0085_role_boundary_multiple_tables_cand_53_52_54_55_match_53_54.png,,
1911_census_volume_ii_part_i_ages,86,85,boundary_multiple_tables,55 | 54 | 56,54 | 55,"Western Australia.—Number of Females in Quinquennial Age Groups, as recorded in each Statistical District, at the Census of 3rd April, 1911 | Western Australia.—Number of Persons in Quinquennial Age Groups, as recorded in each Statistical District, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0086_role_boundary_multiple_tables_cand_55_54_56_match_54_55.png,,
1911_census_volume_ii_part_i_ages,88,87,boundary_multiple_tables,56 | 55 | 57 | 58 | 59,56 | 57 | 58,"Western Australia.—Number of Children in Single Ages under 5 years last birthday, recorded in each Statistical District, at the Census of 3rd April, 1911 | Western Australia.—Population of Commonwealth Electoral Divisions, as recorded at the Census of 3rd April, 1911 | Western Australia.—Population of State Electoral Provinces, as recorded at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0088_role_boundary_multiple_tables_cand_56_55_57_58_59_match_56_57_58.png,,
1911_census_volume_ii_part_i_ages,96,95,boundary_multiple_tables,63 | 62 | 64 | 65,63 | 64,63.—TASMANIA.—NUMBER OF CHILDREN IN SINGLE AGES UNDER 5 YEARS LAST BIRTHDAY | 64.—TASMANIA.—POPULATION OF COMMONWEALTH ELECTORAL DIVISIONS,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0096_role_boundary_multiple_tables_cand_63_62_64_65_match_63_64.png,,
1911_census_volume_ii_part_i_ages,97,96,boundary_multiple_tables,65 | 64 | 66 | 67,65 | 66,"65.—TASMANIA.—POPULATION OF STATE ELECTORAL PROVINCES as Recorded at the Census of 3rd April, 1911 | 66.—NORTHERN TERRITORY.—POPULATION IN QUINQUENNIAL AGE GROUPS as Recorded in each County, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0097_role_boundary_multiple_tables_cand_65_64_66_67_match_65_66.png,,
1911_census_volume_ii_part_i_ages,98,97,boundary_multiple_tables,67 | 66 | 68 | 69 | 70,67 | 68 | 69,"Northern Territory.—Number of Children in Single Ages under 5 years last birthday, recorded in each County, at the Census of 3rd April, 1911 | Federal Capital Territory.—Population in Quinquennial Age Groups, as recorded in each County, at the Census of 3rd April, 1911 | Federal Capital Territory.—Number of Children in Single Ages under 5 years last birthday, recorded in each County, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0098_role_boundary_multiple_tables_cand_67_66_68_69_70_match_67_68_69.png,,
1911_census_volume_ii_part_i_ages,100,99,boundary_multiple_tables,71 | 70 | 72,70 | 71,"70.—NUMBER OF FULL-BLOODED ABORIGINAL MALES—continued. | 71.—NUMBER OF FULL-BLOODED ABORIGINAL FEMALES Recorded at each age in each State and Territory of the Commonwealth at the Census of 3rd April, 1911.",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0100_role_boundary_multiple_tables_cand_71_70_72_match_70_71.png,,
1911_census_volume_ii_part_i_ages,104,103,non_table,72 | 71,,,The provided page is blank.,output/diagnostics/flagged_pages/1911_census_volume_ii_part_i_ages/p0104_role_non_table_cand_72_71_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,8,7,boundary_multiple_tables,2 | 1 | 3,1 | 2,"1.—MALE POPULATION OF STATES AND TERRITORIES OF COMMONWEALTH, 1911—continued. | 2.—FEMALE POPULATION OF THE STATES AND TERRITORIES OF THE COMMONWEALTH at the Census of 3rd April, 1911, classified according to Birthplace",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0008_role_boundary_multiple_tables_cand_2_1_3_match_1_2.png,,
1911_census_volume_ii_part_ii_birthplaces,11,10,boundary_multiple_tables,3 | 2 | 4,2 | 3,"2.—FEMALE POPULATION OF STATES AND TERRITORIES OF THE COMMONWEALTH, 1911—cont. | 3.—TOTAL POPULATION OF THE STATES AND TERRITORIES OF THE COMMONWEALTH at the Census of 3rd April, 1911, classified according to Birthplace",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0011_role_boundary_multiple_tables_cand_3_2_4_match_2_3.png,,
1911_census_volume_ii_part_ii_birthplaces,15,14,boundary_multiple_tables,4 | 3 | 5,3 | 4,"3.—TOTAL POPULATION OF STATES AND TERRITORIES OF THE COMMONWEALTH, 1911—cont. | 4.—MALE POPULATION OF THE STATES AND NORTHERN TERRITORY OF THE COMMONWEALTH at the Census of 31st March, 1901, classified according to Birthplace",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0015_role_boundary_multiple_tables_cand_4_3_5_match_3_4.png,,
1911_census_volume_ii_part_ii_birthplaces,18,17,boundary_multiple_tables,6 | 5 | 7,5 | 6,"Female Population of the States and Northern Territory of the Commonwealth, at the Census of 31st March, 1901, classified according to Birthplace | Total Population of the States and Northern Territory of the Commonwealth, at the Census of 31st March, 1901, classified according to Birthplace",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0018_role_boundary_multiple_tables_cand_6_5_7_match_5_6.png,,
1911_census_volume_ii_part_ii_birthplaces,21,20,boundary_multiple_tables,8 | 7 | 9,7 | 8,"7.—MALE POPULATION OF THE STATES AND NORTHERN TERRITORY, 1891—continued. | 8.—FEMALE POPULATION OF THE STATES AND NORTHERN TERRITORY OF THE COMMONWEALTH at the Census of 5th April, 1891, classified according to Birthplace",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0021_role_boundary_multiple_tables_cand_8_7_9_match_7_8.png,,
1911_census_volume_ii_part_ii_birthplaces,24,23,boundary_multiple_tables,10 | 9 | 11,9 | 10,"9.—TOTAL POPULATION OF THE STATES AND NORTHERN TERRITORY, 1891—continued. | 10.— COMPARATIVE STATEMENT OF THE POPULATION OF THE COMMONWEALTH at the Censuses of 1891, 1901, and 1911, classified according to Birthplace",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0024_role_boundary_multiple_tables_cand_10_9_11_match_9_10.png,,
1911_census_volume_ii_part_ii_birthplaces,31,30,non_table,13 | 12 | 14,,COMMONWEALTH OF AUSTRALIA classified according to Birthplace and Age Abodiginal Aborigines,"The page contains a table, but it is not one of the candidate tables provided in the prompt (Table 13, 12, or 14).",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0031_role_non_table_cand_13_12_14_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,49,48,non_table,22 | 21 | 23,,,"The page contains a table, but it does not match any of the provided candidate table numbers (21, 22, 23). The table on this page appears to be a continuation of a table for Queensland, but it is not one of the candidates provided.",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0049_role_non_table_cand_22_21_23_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,61,60,non_table,28 | 27 | 29,,,"The page contains a table of Western Australia population by birthplace and age, but it is not one of the candidate tables provided (27, 28, 29).",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0061_role_non_table_cand_28_27_29_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,73,72,non_table,34 | 33 | 35,,,"The page contains a table for the Northern Territory, but it is not one of the candidate tables provided (33, 34, or 35). The table on this page appears to be a continuation or a specific subset (excluding full-blooded Aboriginals) not explicitly listed in the candidates.",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0073_role_non_table_cand_34_33_35_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,97,96,non_table,46 | 45 | 47,,,"The page contains a table for the State of Victoria, but it does not match the candidate table numbers provided (45, 46, 47) which are for different page spans.",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0097_role_non_table_cand_46_45_47_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,103,102,non_table,49 | 48 | 50,,"THE STATE OF QUEENSLAND | Nationality, Length of Residence, Education, and Conjugal Condition","The page contains a table for Queensland, but it is not one of the candidate table numbers provided (48, 49, 50).",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0103_role_non_table_cand_49_48_50_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,109,108,non_table,52 | 51 | 53,,,"The page contains a table for South Australia, but it is not one of the provided candidate table numbers (51, 52, 53). The content appears to be a continuation of a table not listed in the candidates.",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0109_role_non_table_cand_52_51_53_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,115,114,non_table,55 | 54 | 56,,,"The page contains a table for Western Australia, but it does not match the candidate table numbers provided for this document index (54, 55, 56).",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0115_role_non_table_cand_55_54_56_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,121,120,non_table,58 | 57 | 59,,,"The page contains a table for Tasmania, but the candidate list provided only includes tables 57, 58, and 59. Table 58 is listed as spanning 119-120, but this page is 121. The content appears to be a continuation of the Tasmania tables, but does not match the provided candidate IDs.",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0121_role_non_table_cand_58_57_59_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,127,126,non_table,61 | 60 | 62,,"THE NORTHERN TERRITORY Nationality, Length of Residence, Education, and Conjugal Condition","The page contains a table for the Northern Territory, but it does not match the provided candidate table numbers (60, 61, 62) which are for different pages or specific subsets.",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0127_role_non_table_cand_61_60_62_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,145,144,non_table,70 | 69 | 71,,,"The page contains a table for New South Wales, but it is not one of the candidate tables provided (70, 69, 71). The candidate tables provided are for different page ranges or states.",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0145_role_non_table_cand_70_69_71_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,151,150,non_table,73 | 72 | 74,,,"The page contains a table body for the State of Victoria, but the provided candidate table numbers (72, 73, 74) do not match this specific table content (which appears to be a continuation of a table for Victoria, likely Table 73, but the page header does not explicitly state the table number).",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0151_role_non_table_cand_73_72_74_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,157,156,non_table,76 | 75 | 77,,,"The page contains a table for Queensland, but the candidate list provided only includes Queensland tables 75 and 76 which span pages 153-156. This page is numbered 261 and appears to be a continuation of the Queensland data not covered by the provided candidate list.",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0157_role_non_table_cand_76_75_77_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,163,162,non_table,79 | 78 | 80,,,"The page contains a table for South Australia, but the candidate list provided only includes tables 78, 79, and 80 which are associated with different page spans or geographies than what is depicted on this specific page (which is page 267 of the document, not 163).",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0163_role_non_table_cand_79_78_80_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,169,168,non_table,82 | 81 | 83,,,"The page contains a table for Western Australia, but the provided candidate list only includes Table 82 for Western Australia (which spans 167-168) and Table 83 for Tasmania. The page content does not match the provided candidate table numbers.",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0169_role_non_table_cand_82_81_83_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,181,180,non_table,88 | 87 | 89,,,"The page contains a table for Northern Territory, but it is not one of the candidate tables provided (87, 88, 89).",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0181_role_non_table_cand_88_87_89_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,187,186,non_table,91 | 90 | 92,,,"The page contains a table for the Federal Capital Territory, but the provided candidate list only includes table 91 for the FCT which spans pages 185-186. This page is numbered 291 and appears to be a continuation or a different table not in the provided candidate list.",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0187_role_non_table_cand_91_90_92_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,265,264,non_table,99 | 98 | 100,,,"The page contains a continuation of a table, but the table number (99) is outside the provided candidate range for this page index.",output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0265_role_non_table_cand_99_98_100_match_unknown.png,,
1911_census_volume_ii_part_ii_birthplaces,282,281,non_table,103 | 102,,,The provided page image is blank.,output/diagnostics/flagged_pages/1911_census_volume_ii_part_ii_birthplaces/p0282_role_non_table_cand_103_102_match_unknown.png,,
1911_census_volume_ii_part_iii_length_of_residence,8,7,boundary_multiple_tables,3 | 2 | 4,2 | 3,"Population of the Commonwealth of Australia at the Census of 3rd April, 1911, Classified according to Age and Length of Residence in Australia | Population of the State of New South Wales at the Census of 3rd April, 1911, Classified according to Age and Length of Residence in Australia",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iii_length_of_residence/p0008_role_boundary_multiple_tables_cand_3_2_4_match_2_3.png,,
1911_census_volume_ii_part_iii_length_of_residence,14,13,boundary_multiple_tables,5 | 4 | 6,4 | 5,"4.-POPULATION OF THE | 5.-POPULATION OF THE At the Census of 3rd April, 1911, Classified (Exclusive of Full-",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iii_length_of_residence/p0014_role_boundary_multiple_tables_cand_5_4_6_match_4_5.png,,
1911_census_volume_ii_part_iii_length_of_residence,15,14,boundary_multiple_tables,5 | 4 | 6,4 | 5,"Population of the State of Victoria at the Census of 3rd April, 1911, Classified according to Age and Length of Residence in Australia | Population of the State of Queensland at the Census of 3rd April, 1911, Classified according to Age and Length of Residence in Australia",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iii_length_of_residence/p0015_role_boundary_multiple_tables_cand_5_4_6_match_4_5.png,,
1911_census_volume_ii_part_iii_length_of_residence,21,20,boundary_multiple_tables,7 | 6 | 8,6 | 7,"Population of the State of South Australia at the Census of 3rd April, 1911, Classified according to Age and Length of Residence in Australia | Population of the State of Western Australia at the Census of 3rd April, 1911, Classified according to Age and Length of Residence in Australia",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iii_length_of_residence/p0021_role_boundary_multiple_tables_cand_7_6_8_match_6_7.png,,
1911_census_volume_ii_part_iii_length_of_residence,27,26,boundary_multiple_tables,9 | 8 | 10,8 | 9,"Population of the State of Tasmania at the Census of 3rd April, 1911, Classified according to Age and Length of Residence in Australia | Population of the Northern Territory at the Census of 3rd April, 1911, Classified according to Age and Length of Residence in Australia",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iii_length_of_residence/p0027_role_boundary_multiple_tables_cand_9_8_10_match_8_9.png,,
1911_census_volume_ii_part_iii_length_of_residence,32,31,boundary_multiple_tables,11 | 10 | 12,10 | 11,"Population of the Federal Capital Territory at the Census of 3rd April, 1911, Classified according to Age and Length of Residence in Australia | Metropolitan and Extra-Metropolitan Population of New South Wales at the Census of 3rd April, 1911, Classified according to Length of Residence in Australia",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iii_length_of_residence/p0032_role_boundary_multiple_tables_cand_11_10_12_match_10_11.png,,
1911_census_volume_ii_part_iii_length_of_residence,34,33,boundary_multiple_tables,13 | 12 | 14 | 15,13 | 14,"Metropolitan and Extra-Metropolitan Population of Queensland at the Census of 3rd April, 1911, Classified according to Length of Residence in Australia | Metropolitan and Extra-Metropolitan Population of South Australia at the Census of 3rd April, 1911, Classified according to Length of Residence in Australia",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iii_length_of_residence/p0034_role_boundary_multiple_tables_cand_13_12_14_15_match_13_14.png,,
1911_census_volume_ii_part_iii_length_of_residence,35,34,boundary_multiple_tables,15 | 14 | 16 | 17,15 | 16,"Metropolitan and Extra-Metropolitan Population of Western Australia at the Census of 3rd April, 1911, Classified according to Length of Residence in Australia | Metropolitan and Extra-Metropolitan Population of Tasmania at the Census of 3rd April, 1911, Classified according to Length of Residence in Australia",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iii_length_of_residence/p0035_role_boundary_multiple_tables_cand_15_14_16_17_match_15_16.png,,
1911_census_volume_ii_part_iii_length_of_residence,54,53,non_table,25 | 24,,,The provided page is blank.,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iii_length_of_residence/p0054_role_non_table_cand_25_24_match_unknown.png,,
